point_id,historical_map_label,pixel_x,pixel_y,symbol_px,symbol_bbox,reference_feature_name,reference_lon,reference_lat,discovery,zone,symbol_type,chosen_anchor,anchor_reason,identity_confidence,georeference_source,bnf_transform_used,bnf_pixel_reused,split_role
blha_angermuende,NEUANGERMUNDE,4415.8,2270.1,80,"[4404,2258,4428,2282]",Angermuende,13.99924,53.01499,MAP_FIRST_TILE_READ_THEN_SEEDED,NE,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,FIT
blha_berlin,BERLIN,3609.3414424728107,3684.4527761877503,3494,"[3566,3649,3641,3727]",Berlin,13.41053,52.52437,MAP_FIRST_GLOBAL_SYMBOL_SCAN,centre,URBS_FORTIFIED_PLAN,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,FIT
blha_bernau_bei_berlin,BERNAU,3879.6424731182797,3275.043010752688,372,"[3870,3256,3890,3295]",Bernau bei Berlin,13.58708,52.67982,MAP_FIRST_GLOBAL_SYMBOL_SCAN,centre,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,FIT
blha_brandenburg_an_der_havel,BRANDENBURG,2594.3339466421344,3630.809567617295,1087,"[2566,3612,2621,3646]",Brandenburg an der Havel,12.55,52.41667,MAP_FIRST_GLOBAL_SYMBOL_SCAN,SW,URBS_FORTIFIED_PLAN,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,BLIND_VALIDATION
blha_choszczno,ARENSWALDE,5958.222527472528,2338.736263736264,364,"[5945,2329,5972,2351]",Choszczno,15.42054,53.16905,MAP_FIRST_GLOBAL_SYMBOL_SCAN,NE,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,FIT
blha_eberswalde,NEUSTADT,4220.8,2915.5,190,"[4209,2904,4233,2928]",Eberswalde,13.81951,52.83492,MAP_FIRST_TILE_READ_THEN_SEEDED,centre,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,MODEL_SELECTION_HOLDOUT
blha_frankfurt_oder,FRANCKFURT an der Oder,5030.160818713451,4126.090643274853,342,"[5019,4114,5042,4138]",Frankfurt (Oder),14.55062,52.34714,MAP_FIRST_GLOBAL_SYMBOL_SCAN,SE,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,BLIND_VALIDATION
blha_koepenick,KOPENICK,3921.146401985112,3763.3002481389576,403,"[3909,3749,3935,3775]",Koepenick,13.57455,52.4455,MAP_FIRST_GLOBAL_SYMBOL_SCAN,centre,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",MEDIUM,BLHA_AKS_1145_A_ONLY,NO,NO,BLIND_VALIDATION
blha_kostrzyn_nad_odra,CUSTRIN,5060.9,3460.1,68,"[5049,3448,5073,3472]",Kostrzyn nad Odra,14.64953,52.58713,MAP_FIRST_TILE_READ_THEN_SEEDED,SE,URBS_STAR,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,FIT
blha_magdeburg,MAGDEBURG,1410.0401146131805,3998.18147086915,1047,"[1394,3974,1430,4021]",Magdeburg,11.63189,52.13129,MAP_FIRST_GLOBAL_SYMBOL_SCAN,SW,URBS_FORTIFIED_PLAN,RED_SYMBOL_FILL_CENTROID,"the Lotter plate marks Urbes with a solid red-orange fill whose green channel is far darker relative to red than the pale territorial wash; the anchor is the centroid of that fill, found by a global connected-component scan of the whole engraved field",HIGH,BLHA_AKS_1145_A_ONLY,NO,NO,MODEL_SELECTION_HOLDOUT
