point_id,historical_map_label,pixel_x,pixel_y,reference_feature_name,reference_lon,reference_lat,reference_source,identity_confidence,symbol_type,zone,selection_method,discovered_using_prior_transform,notes,symbol_radius_px,symbol_bbox,chosen_anchor,anchor_reason,symbol_uncertainty_px,symbol_position_uncertainty_m,observation_class,pixel_coordinate_directly_observed,feature_kind,inside_inset,split_role,split_reason
ofp_berlin,BERLIN,2006.8,4937.4,Berlin,13.41053,52.52437,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[2001.8,4932.4,2011.8,4942.4]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,"moved out of blind validation: located inside a window predicted by the MAPGEN-018 transform, so it cannot test a transform blindly"
ofp_bialogard,Belgardt,4603.9,2175.8,Bialogard,15.98751,54.00696,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4598.9,2170.8,4608.9,2180.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_bytow,Butow,6018.0,1786.9,Bytow,17.49187,54.17057,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[6013.0,1781.9,6023.0,1791.9]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_choszczno,Arenswalde,4176.7,3596.8,Choszczno,15.42054,53.16905,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,centre,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4171.7,3591.8,4181.7,3601.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_fuerstenwalde,Furstenwalde,2735.8,5150.8,Fuerstenwalde,14.06185,52.36067,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[2730.8,5145.8,2740.8,5155.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_kartuzy,Carthaus,6903.8,1917.7,Kartuzy,18.19735,54.33424,"GeoNames cities15000 (CC BY 4.0), local copy",MEDIUM,VILLAGE_CIRCLE,NE,MAP_FIRST_TILE_SCAN,NO,"plain village-grade circle, no building glyph",4.0,"[6898.8,1912.7,6908.8,1922.7]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",10.2,662.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_lebork,Louwenborch,6278.8,997.3,Lebork,17.75012,54.53921,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[6273.8,992.3,6283.8,1002.3]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_potsdam,Potzdam,1630.9,5048.1,Potsdam,13.06566,52.39886,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[1625.9,5043.1,1635.9,5053.1]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,"moved out of blind validation: located inside a window predicted by the MAPGEN-018 transform, so it cannot test a transform blindly"
ofp_prenzlau,Prenslow,2543.8,3398.2,Prenzlau,13.86397,53.31702,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[2538.8,3393.2,2548.8,3403.2]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_rathenow,Ratenow,927.8,4641.2,Rathenow,12.33696,52.60659,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[922.8,4636.2,932.8,4646.2]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
