point_id,historical_map_label,pixel_x,pixel_y,reference_feature_name,reference_lon,reference_lat,reference_source,identity_confidence,symbol_type,zone,selection_method,discovered_using_prior_transform,notes,symbol_radius_px,symbol_bbox,chosen_anchor,anchor_reason,symbol_uncertainty_px,symbol_position_uncertainty_m,observation_class,pixel_coordinate_directly_observed,feature_kind,inside_inset,split_role,split_reason
ofp_angermuende,Angermunde,2742.9,3932.0,Angermuende,13.99924,53.01499,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[2737.9,3927.0,2747.9,3937.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,MODEL_SELECTION_HOLDOUT,
ofp_berlin,BERLIN,2006.8,4937.4,Berlin,13.41053,52.52437,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[2001.8,4932.4,2011.8,4942.4]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,"moved out of blind validation: located inside a window predicted by the MAPGEN-018 transform, so it cannot test a transform blindly"
ofp_bialogard,Belgardt,4603.9,2175.8,Bialogard,15.98751,54.00696,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4598.9,2170.8,4608.9,2180.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_brandenburg_an_der_havel,New Brandeburg,1157.9,5025.0,Brandenburg an der Havel,12.55,52.41667,"GeoNames cities15000 (CC BY 4.0), local copy",MEDIUM,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,"the Neustadt; the plate draws Alt Brandeburg separately at about (1178, 4997). The GeoNames reference is the modern city centre, so this pairing carries an identification offset of roughly a kilometre",4.0,"[1152.9,5020.0,1162.9,5030.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",10.2,1500.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,EXCLUDED,"identity offset: the plate draws New Brandeburg (the Neustadt) and Alt Brandeburg separately, and the reference coordinate is the modern city centre. Kept as an observed point, used by no set."
ofp_bytow,Butow,6018.0,1786.9,Bytow,17.49187,54.17057,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,NE,MAP_FIRST_TILE_SCAN,NO,,4.0,"[6013.0,1781.9,6023.0,1791.9]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_choszczno,Arenswalde,4176.7,3596.8,Choszczno,15.42054,53.16905,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,centre,MAP_FIRST_TILE_SCAN,NO,,4.0,"[4171.7,3591.8,4181.7,3601.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_frankfurt_oder,FRANCFORT,3262.1,5258.1,Frankfurt (Oder),14.55062,52.34714,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,MAP_FIRST_TILE_SCAN,NO,,4.0,"[3257.1,5253.1,3267.1,5263.1]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,BLIND_VALIDATION,"moved into blind validation in place of ofp_berlin, same zone, map-first selection"
ofp_fuerstenwalde,Furstenwalde,2735.8,5150.8,Fuerstenwalde,14.06185,52.36067,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,SW,PRIOR_TRANSFORM_WINDOW_MAPGEN018R,YES,,4.0,"[2730.8,5145.8,2740.8,5155.8]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,FIT,
ofp_goleniow,Golnow,3701.6,2924.0,Goleniow,14.82854,53.56392,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,TOWN_CIRCLE_WITH_BUILDING,centre,MAP_FIRST_TILE_SCAN,NO,,4.0,"[3696.6,2919.0,3706.6,2929.0]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,MODEL_SELECTION_HOLDOUT,
ofp_gorzow_wielkopolski,Landsberg,3820.0,4294.7,Gorzow Wielkopolski,15.22505,52.73371,"GeoNames cities15000 (CC BY 4.0), local copy",HIGH,VILLAGE_CIRCLE,SW,MAP_FIRST_TILE_SCAN,NO,plain circle immediately left of the name,4.0,"[3815.0,4289.7,3825.0,4299.7]",SYMBOL_CIRCLE_CENTRE,"the engraved settlement circle, not the centre of the label text; located by an annulus template (dark ring, light core, light halo) seeded on the circle read at native resolution and refined to the darkness-weighted centroid of the ring",6.3,409.0,OBSERVED_FEATURE_POINT,YES,TOWN_SYMBOL,NO,BLIND_VALIDATION,"moved into blind validation in place of ofp_potsdam, same zone, map-first selection"
