map_source_id,copy_id,gcp_id,pixel_x,pixel_y,longitude_raw,latitude_raw,prime_meridian,longitude_greenwich,latitude,included_in_fit,holdout,reading_confidence,reconstructed_grid_fit_residual_m,notes,observation_type,pixel_coordinate_directly_observed,source_meridian_observation_id,source_parallel_observation_id,classification,counts_as_production_gcp
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_31E_55N,1746.0,622.5,31.0,55.0,FERRO_20W_OF_PARIS,13.337229,55.0,True,False,HIGH,62.1,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_31E_top_border,par_55N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_31E_54N,1746.0,2357.0,31.0,54.0,FERRO_20W_OF_PARIS,13.337229,54.0,True,False,HIGH,73.6,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_31E_top_border,par_54N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_31E_53N,1746.0,4093.5,31.0,53.0,FERRO_20W_OF_PARIS,13.337229,53.0,True,False,HIGH,64.8,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_31E_top_border,par_53N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_32E_55N,2720.0,622.5,32.0,55.0,FERRO_20W_OF_PARIS,14.337229,55.0,True,False,HIGH,58.8,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_32E_top_border,par_55N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_32E_54N,2720.0,2357.0,32.0,54.0,FERRO_20W_OF_PARIS,14.337229,54.0,True,False,HIGH,69.3,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_32E_top_border,par_54N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_32E_53N,2720.0,4093.5,32.0,53.0,FERRO_20W_OF_PARIS,14.337229,53.0,True,False,HIGH,61.2,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_32E_top_border,par_53N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_33E_55N,3692.0,622.5,33.0,55.0,FERRO_20W_OF_PARIS,15.337229,55.0,False,True,HIGH,42.7,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_33E_top_border,par_55N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_33E_54N,3692.0,2357.0,33.0,54.0,FERRO_20W_OF_PARIS,15.337229,54.0,False,True,HIGH,53.9,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_33E_top_border,par_54N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_33E_53N,3692.0,4093.5,33.0,53.0,FERRO_20W_OF_PARIS,15.337229,53.0,False,True,HIGH,44.1,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_33E_top_border,par_53N_left_border,RECONSTRUCTED_GRID_POINT,NO
hsrc_d22d155bbd4a,copy_bnf_ge_dd_2987_3790,bgcp_34E_55N,4664.5,622.5,34.0,55.0,FERRO_20W_OF_PARIS,16.337229,55.0,True,False,HIGH,55.3,"MAPGEN-018R: this row is NOT an observed intersection. Its x comes from a meridian tick measured on the TOP border and its y from a parallel tick measured on the LEFT border; the pair was formed by crossing them. Six meridian observations and three parallel observations were expanded into eighteen rows, so the eighteen are not eighteen independent observations and the fit/holdout split shared primitive measurements. Retained as audit history only.",CARTESIAN_PRODUCT_OF_BORDER_OBSERVATIONS,NO,mer_34E_top_border,par_55N_left_border,RECONSTRUCTED_GRID_POINT,NO
