rank_by_area,part_index,ground_area_km2,centroid_lon,centroid_lat,named_identification,exclusion_reason,note
2,20056,39753.5,1.24865,49.68432,Continental Europe,NOT_BRITISH_ISLES_LANDMASS,
3,9281,2149.2,-6.65772,58.13449,Lewis and Harris,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
4,9664,1636.1,-6.24779,57.36299,Skye,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
5,19522,953.3,-1.34658,60.29662,Shetland Mainland,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
6,12117,884.7,-6.0193,56.44765,Mull,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
7,18645,580.6,-3.09769,58.99227,Orkney Mainland,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
8,9848,617.6,-6.24538,55.7607,Islay,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
9,17524,679.8,-4.3611,53.28741,Anglesey,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
10,17186,570.5,-4.53754,54.22894,Isle of Man,HISTORICAL_AUTHORITY_NOT_GREAT_BRITAIN_1756,"In 1756 the Isle of Man was held by the Dukes of Atholl as a lordship outside the realm, with its own Tynwald and revenue. The Revestment Act is 1765 and MUST NOT be back-dated to 1756. It is assigned to neither Great Britain nor Ireland here."
11,15550,429.6,-5.23754,55.57178,Arran,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
12,12560,364.8,-5.91263,55.96154,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
13,4317,319.0,-7.29064,57.60111,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
14,3622,306.8,-7.33013,57.25077,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
15,19592,381.6,-1.29779,50.67492,Isle of Wight,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
16,20424,211.6,-1.09336,60.60638,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
17,8487,146.2,-6.82015,61.51499,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
18,18625,143.7,-3.29498,58.85199,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
19,20470,119.8,-0.88259,60.7585,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
20,412,148.3,-10.03744,53.96663,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
21,16027,121.3,-5.09919,55.83073,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
22,11097,107.1,-6.33483,57.00048,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
23,19116,120.1,-2.13281,49.21404,Jersey,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
24,4138,77.7,-7.31139,57.44515,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
25,8155,79.0,-6.88585,56.50065,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
26,9009,74.3,-6.56059,56.62897,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
27,20552,89.6,0.83381,51.3976,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
28,3112,67.4,-7.47838,56.97827,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
29,11971,62.4,-6.03936,57.40234,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
30,19088,49.7,-2.56607,59.25802,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
31,19092,48.6,-2.96031,59.29632,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
32,19062,47.2,-3.03687,59.16033,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
33,20417,40.5,-0.86256,60.60111,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
34,18790,63.6,-2.57952,49.45573,Guernsey,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
35,11377,41.0,-6.2045,56.0764,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
36,19049,33.9,-2.60936,59.10826,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
37,20255,27.6,-1.09438,60.14847,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
38,19069,27.7,-2.77471,59.18931,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
39,19041,27.4,-2.85964,59.04867,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
