landmass,bucket,bucket_lo,bucket_hi,hexes,share_of_landmass_withheld_pct,authorised_km2
Great Britain,0-5%,0.0,0.05,254,23.22,41.983
Ireland,0-5%,0.0,0.05,103,18.46,19.934
Sicily,0-5%,0.0,0.05,37,28.91,11.446
Sardinia,0-5%,0.0,0.05,30,23.08,9.358
Iceland,0-5%,0.0,0.05,247,22.68,24.61
Malta,0-5%,0.0,0.05,1,11.11,1.021
Gozo,0-5%,0.0,0.05,2,33.33,0.694
ALL,0-5%,0.0,0.05,674,22.36,109.044
Great Britain,5-10%,0.05,0.1,125,11.43,89.647
Ireland,5-10%,0.05,0.1,65,11.65,48.891
Sicily,5-10%,0.05,0.1,17,13.28,25.755
Sardinia,5-10%,0.05,0.1,12,9.23,13.767
Iceland,5-10%,0.05,0.1,128,11.75,49.576
Malta,5-10%,0.05,0.1,2,22.22,2.482
Gozo,5-10%,0.05,0.1,0,0.0,0.0
ALL,5-10%,0.05,0.1,349,11.58,230.118
Great Britain,10-20%,0.1,0.2,205,18.74,307.574
Ireland,10-20%,0.1,0.2,117,20.97,175.555
Sicily,10-20%,0.1,0.2,19,14.84,54.446
Sardinia,10-20%,0.1,0.2,26,20.0,70.917
Iceland,10-20%,0.1,0.2,212,19.47,167.286
Malta,10-20%,0.1,0.2,3,33.33,8.557
Gozo,10-20%,0.1,0.2,1,16.67,0.948
ALL,10-20%,0.1,0.2,583,19.34,785.283
Great Britain,20-30%,0.2,0.3,168,15.36,420.966
Ireland,20-30%,0.2,0.3,108,19.35,282.952
Sicily,20-30%,0.2,0.3,24,18.75,123.764
Sardinia,20-30%,0.2,0.3,23,17.69,97.842
Iceland,20-30%,0.2,0.3,167,15.34,218.695
Malta,20-30%,0.2,0.3,0,0.0,0.0
Gozo,20-30%,0.2,0.3,2,33.33,10.971
ALL,20-30%,0.2,0.3,492,16.32,1155.19
Great Britain,30-40%,0.3,0.4,154,14.08,546.055
Ireland,30-40%,0.3,0.4,85,15.23,303.283
Sicily,30-40%,0.3,0.4,15,11.72,98.329
Sardinia,30-40%,0.3,0.4,24,18.46,148.32
Iceland,30-40%,0.3,0.4,172,15.79,329.927
Malta,30-40%,0.3,0.4,2,22.22,14.402
Gozo,30-40%,0.3,0.4,1,16.67,6.977
ALL,30-40%,0.3,0.4,453,15.03,1447.293
Great Britain,40-50%,0.4,0.5,188,17.18,861.95
Ireland,40-50%,0.4,0.5,80,14.34,385.728
Sicily,40-50%,0.4,0.5,16,12.5,139.47
Sardinia,40-50%,0.4,0.5,15,11.54,123.304
Iceland,40-50%,0.4,0.5,163,14.97,396.934
Malta,40-50%,0.4,0.5,1,11.11,9.963
Gozo,40-50%,0.4,0.5,0,0.0,0.0
ALL,40-50%,0.4,0.5,463,15.36,1917.349
