map_source_id,gcp_id,historical_label,historical_x,historical_y,reference_lon,reference_lat,reference_type,included_in_fit,holdout,residual_m,notes
hsrc_34735c52ef0d,gcp_grat_28E_52N,28 deg Ferro / 52 deg N,1425.42,1401.09,10.337229,52.0,MAP_GRATICULE,True,False,75.4,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_28E_51N,28 deg Ferro / 51 deg N,1392.51,3584.34,10.337229,51.0,MAP_GRATICULE,True,False,39.8,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_29E_52N,29 deg Ferro / 52 deg N,2753.0,1394.64,11.337229,52.0,MAP_GRATICULE,False,True,78.2,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_29E_51N,29 deg Ferro / 51 deg N,2748.3,3577.97,11.337229,51.0,MAP_GRATICULE,True,False,24.3,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_30E_52N,30 deg Ferro / 52 deg N,4084.66,1388.18,12.337229,52.0,MAP_GRATICULE,True,False,46.9,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_30E_51N,30 deg Ferro / 51 deg N,4104.84,3571.61,12.337229,51.0,MAP_GRATICULE,True,False,23.2,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_31E_52N,31 deg Ferro / 52 deg N,5419.09,1381.71,13.337229,52.0,MAP_GRATICULE,True,False,66.2,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_31E_51N,31 deg Ferro / 51 deg N,5465.92,3565.22,13.337229,51.0,MAP_GRATICULE,False,True,78.6,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_32E_52N,32 deg Ferro / 52 deg N,6753.65,1375.23,14.337229,52.0,MAP_GRATICULE,False,True,104.3,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_grat_32E_51N,32 deg Ferro / 51 deg N,6825.76,3558.83,14.337229,51.0,MAP_GRATICULE,True,False,51.6,intersection of the meridian (top/bottom neat-line degree ticks) with the parallel (left/right ticks); Ferro meridian converted to Greenwich
hsrc_34735c52ef0d,gcp_city_dresden,Dresde (Dresden),6050.0,3490.0,13.7383,51.0504,SETTLEMENT_MODERN_REFERENCE,False,True,2902.5,"independent accuracy check: city symbol read off the raster vs modern coordinates; never used to fit, and modern administrative geometry is never used at all"
