global_source_id,citation_key,title,author_or_institution,publication_date,represented_date_range,map_scale_if_known,geographic_scope,licence_or_usage_note,source_url,local_path,authority_level,historicity_of_source,exact_locator,georeference_status,notes
hsrc_e356c9a9231f,hall_cambridge_history_of_japan_vol4_1991,"The Cambridge History of Japan, Volume 4: Early Modern Japan","John Whitney Hall (ed.), Cambridge University Press",1991,1550-1800,,Japan,Published academic reference used for fact verification only; no content redistributed.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_a655571dc162,kokushi_daijiten_izu_shoto,"国史大辞典 (Kokushi Daijiten), entry: 伊豆諸島 (Izu Islands)",吉川弘文館 (Yoshikawa Kobunkan),1979,Edo period coverage (1603-1868),,"Izu Islands, Japan",Published encyclopedia of Japanese history used for fact verification only.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_61f13c030eca,ncmh_vol7_old_regime_1957,"The New Cambridge Modern History, Volume VII: The Old Regime 1713-63","J. O. Lindsay (ed.), Cambridge University Press",1957,1713-1763,,Europe,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_0f6079f5595f,ncmh_vol14_atlas_1970,"The New Cambridge Modern History, Volume XIV: Atlas","H. C. Darby & H. Fullard (eds.), Cambridge University Press",1970,1500-1900,,Europe/world,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_44870d6324f1,wilson_holy_roman_empire_2016,The Holy Roman Empire: A Thousand Years of Europe's History,"Peter H. Wilson, Allen Lane / Penguin",2016,800-1806,,Holy Roman Empire,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_9edbd1f1cda2,clark_iron_kingdom_2006,Iron Kingdom: The Rise and Downfall of Prussia 1600-1947,"Christopher Clark, Allen Lane",2006,1600-1947,,Brandenburg-Prussia,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_3ec4af7d2beb,ingrao_habsburg_monarchy_2000,The Habsburg Monarchy 1618-1815 (2nd ed.),"Charles W. Ingrao, Cambridge University Press",2000,1618-1815,,Habsburg lands,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_b00eeeb2241f,szabo_seven_years_war_2008,The Seven Years War in Europe 1756-1763,"Franz A. J. Szabo, Pearson Longman",2008,1756-1763,,Europe,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_51d14db90c7a,duursma_microstates_1996,Fragmentation and the International Relations of Micro-States: Self-determination and Statehood,"Jorri Duursma, Cambridge University Press",1996,medieval-20th century (per-state case studies),,"European microstates (Liechtenstein, San Marino, Monaco, Andorra, Vatican)",Published scholarly work used for fact verification only; ISBN not recorded to avoid transcription error.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_bc79a3f9c7ae,thrasher_paoli_1970,Pasquale Paoli: An Enlightened Hero 1725-1807,"Peter Adam Thrasher, Constable",1970,1725-1807,,Corsica,Published scholarly work used for fact verification only; ISBN not recorded to avoid transcription error.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,UNKNOWN (work-level; see scenario evidence),NOT_GEOREFERENCED,Registered in MAPGEN-008/009/009R as a scenario source; global id added additively — the scenario src_ id is UNCHANGED and remains valid.
hsrc_a7b98e38fa2a,wikimedia_europe_1748_1766_map,Europe 1748-1766 (Wikimedia Commons reconstruction map),Wikimedia Commons contributors,modern upload,1748-1766,,Europe,Licence to be verified before any geometry acquisition; nothing downloaded or redistributed here.,,,VISUAL_QA_ONLY,LATER_RECONSTRUCTION,UNKNOWN (catalogue-stage; sheet/layer locators recorded at acquisition),UNKNOWN,Secondary informal reconstruction with known gaps. Usable for period sanity checks and visual QA ONLY — NEVER a boundary authority on its own.
