point_id,historical_map_label,pixel_x,pixel_y,reference_feature_name,reference_lon,reference_lat,geonameid,country_code,symbol_class,name_resolution,anchor,symbol_uncertainty_px,discovery,zone,split_role,split_reason,anchor_reason,map_source_id,copy_id,reference_source,observation_class,pixel_coordinate_directly_observed,feature_kind,inside_inset,identity_confidence,symbol_position_uncertainty_m,residual_m
ofp_madrid,MADRID,2882.3,2133.2,Madrid,-3.70256,40.4165,3117735,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NW,FIT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,8652.744
ofp_sevilla,SEVILLE,1981.7,3275.9,Sevilla,-5.97317,37.38283,2510911,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,SW,BLIND_VALIDATION,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,23951.338
ofp_burgos,BURGOS,2800.3,1277.3,Burgos,-3.70184,42.34106,3127461,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NW,MODEL_SELECTION_HOLDOUT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,20001.965
ofp_alcala_de_henares,Alcala de Henares,2981.9,2084.8,Alcala de Henares,-3.35996,40.48205,3130616,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NW,FIT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,13338.22
ofp_barcelona,BARCELONE,5340.3,2033.1,Barcelona,2.15899,41.38879,3128760,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NE,FIT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,19649.983
ofp_lisbon,LISBONE,739.3,2749.4,Lisbon,-9.1498,38.72509,2267057,PT,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,SW,FIT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,29845.114
ofp_cartagena,Carthagene,3958.9,3219.3,Cartagena,-0.98397,37.60197,2520058,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,SE,FIT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,24679.898
ofp_zaragoza,SARAGOSSE,4038.1,1607.3,Zaragoza,-0.87734,41.65606,3104324,ES,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NE,MODEL_SELECTION_HOLDOUT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,16234.635
ofp_coimbra,COIMBRE,1033.1,2132.5,Coimbra,-8.41996,40.20686,2740637,PT,WASH_BLOB,UNIQUE_NAME,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NW,FIT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,16769.513
ofp_salamanca,SALAMANQUE,2114.7,1741.6,Salamanca,-5.66388,40.96882,3111108,ES,WASH_BLOB,NEAREST_TO_PROVISIONAL_WINDOW,CRIMSON_WASH_CENTROID,12.0,MAP_FIRST_GLOBAL_CRIMSON_BLOB_SCAN,NW,MODEL_SELECTION_HOLDOUT,"frozen before any fit: quadrant of the engraved face, point_id order inside the quadrant, fixed 5-cycle FIT/FIT/MODEL_SELECTION_HOLDOUT/FIT/BLIND_VALIDATION","the crimson wash the plate lays over a settlement mark; the anchor is the centroid of one connected wash component, found by a global colour scan of the engraved face, not by pointing at the label",hsrc_lerouge_1756_atlas_portatif_espagne_portugal,copy_polona_106354248,"GeoNames cities5000 (CC BY 4.0), local copy registered in data/source_manifest.json",OBSERVED_FEATURE_POINT,YES,SETTLEMENT_SYMBOL,NO,HIGH,2887.4,24502.263
