hex_id,canonical_water_type,is_terrestrial_hex,land_fraction,hex_land_km2,mainland_fragment_km2,other_component_km2,land_subject_or_component_id,candidate_land_fragment_id,spain_safe_km2,portugal_safe_km2,spain_region_km2,portugal_region_km2,safe_interior_status,frontier_band_status,special_case_status,mixed_land_status,proposed_control_status,proposed_controller,basis
h6000_q-000440_r+000997,OCEAN,False,0.157552,2.700691,2.696738,0.003953,hsub_european_mainland,lfr_d900f86af58c32,0.0,0.0,2.639165,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000440_r+001000,OCEAN,False,0.269747,4.605867,4.603636,0.002231,hsub_european_mainland,lfr_efca987a933a05,0.0,0.0,0.014115,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000441_r+000982,OCEAN,False,0.165396,2.879331,2.879331,0.0,hsub_european_mainland,lfr_cbd3ca406bd303,0.0,0.0,2.346284,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000441_r+000998,OCEAN,False,0.220466,3.773803,3.773803,0.0,hsub_european_mainland,lfr_d1707197ebbbd2,0.0,0.0,3.773803,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000441_r+001000,OCEAN,False,0.098259,1.677652,1.670299,0.007353,hsub_european_mainland,lfr_d59e1cd8ce8374,0.0,0.0,1.670299,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000442_r+000981,OCEAN,False,0.000981,0.017098,0.017098,0.0,hsub_european_mainland,lfr_ebf2123336aee3,0.0,0.0,0.017098,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000442_r+001000,OCEAN,False,0.487479,8.325038,8.325038,0.0,hsub_european_mainland,lfr_6bebe68f152b02,0.0,0.0,8.325038,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000443_r+000981,OCEAN,False,0.363412,6.333907,6.333907,0.0,hsub_european_mainland,lfr_f1c72b9899a29e,0.0,0.0,6.333907,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000443_r+001004,OCEAN,False,0.160034,2.721817,2.700375,0.021442,hsub_european_mainland,lfr_a2ee588abf3fab,0.0,0.0,2.700375,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000444_r+000980,OCEAN,False,0.256516,4.475424,4.475424,0.0,hsub_european_mainland,lfr_deac0f707c62d4,0.0,0.0,4.475424,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000444_r+001006,OCEAN,False,0.234558,3.980205,3.97276,0.007445,hsub_european_mainland,lfr_97f69195d637ab,0.0,0.0,3.97276,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000445_r+000978,OCEAN,False,0.008502,0.148608,0.148608,0.0,hsub_european_mainland,lfr_8df7e87b2caa45,0.0,0.0,0.148608,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000445_r+000979,OCEAN,False,0.490315,8.564811,8.564811,0.0,hsub_european_mainland,lfr_9dd785ffe9c262,0.0,0.0,8.564811,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000445_r+001007,OCEAN,False,0.388685,6.589523,6.587715,0.001808,hsub_european_mainland,lfr_cb027196d38520,0.0,0.0,6.587715,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000446_r+000973,OCEAN,False,0.002654,0.046658,0.046658,0.0,hsub_european_mainland,lfr_8572a1b605400a,0.0,0.0,0.046658,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000446_r+000978,OCEAN,False,0.272493,4.764369,4.764369,0.0,hsub_european_mainland,lfr_a0960070d112b3,0.0,0.0,4.764369,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000446_r+001008,OCEAN,False,0.496376,8.405122,8.404991,0.000131,hsub_european_mainland,lfr_86c276299b66bd,0.0,0.0,8.404991,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000447_r+000973,OCEAN,False,0.447416,7.865466,7.865466,0.0,hsub_european_mainland,lfr_3692f35e5d0884,0.0,0.0,7.865466,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000447_r+000975,OCEAN,False,0.439477,7.710283,7.349599,0.360684,hsub_european_mainland,lfr_5c493292c03709,0.0,0.0,7.349599,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000447_r+001009,OCEAN,False,0.029634,0.501421,0.501421,0.0,hsub_european_mainland,lfr_b3914af5825a20,0.0,0.0,0.501421,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000448_r+000972,OCEAN,False,0.180174,3.170335,3.170335,0.0,hsub_european_mainland,lfr_46b3e59e364aa5,0.0,0.0,3.170335,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000448_r+001010,OCEAN,False,0.006211,0.104949,0.104949,0.0,hsub_european_mainland,lfr_b6b57c70360c4a,0.0,0.0,0.104949,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000449_r+000972,OCEAN,False,0.357194,6.285643,6.285643,0.0,hsub_european_mainland,lfr_8fe54f9527bb42,0.0,0.0,6.285643,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000449_r+001011,OCEAN,False,0.391064,6.599845,6.599845,0.0,hsub_european_mainland,lfr_ceee38a4f1c099,0.0,0.0,6.599845,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000450_r+000972,OCEAN,False,0.429471,7.557793,7.557793,0.0,hsub_european_mainland,lfr_8f77a77609568d,0.0,0.0,7.557793,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000450_r+001013,OCEAN,False,0.295887,4.982362,4.982362,0.0,hsub_european_mainland,lfr_af1a4577f212ff,0.0,0.0,4.982362,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000451_r+000971,OCEAN,False,0.126188,2.22271,2.22271,0.0,hsub_european_mainland,lfr_32174f8bfc633b,0.0,0.0,2.22271,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000451_r+001015,OCEAN,False,0.340925,5.728263,5.728263,0.0,hsub_european_mainland,lfr_be8ff8a746ad93,0.0,0.0,0.688807,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000452_r+000971,OCEAN,False,0.294771,5.19273,5.19226,0.00047,hsub_european_mainland,lfr_8a6178abfad125,0.0,0.0,5.19226,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000453_r+000970,OCEAN,False,0.005143,0.090672,0.090672,0.0,hsub_european_mainland,lfr_8f638517dfb1fc,0.0,0.0,0.090672,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000454_r+000906,OCEAN,False,0.422122,7.960312,7.960312,0.0,hsub_european_mainland,lfr_41ebd9df3accef,0.0,0.0,3.97984,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000454_r+000970,OCEAN,False,0.227424,4.010351,4.010351,0.0,hsub_european_mainland,lfr_df49f21b02b21f,0.0,0.0,4.010351,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000455_r+000907,OCEAN,False,0.152959,2.881766,2.881766,0.0,hsub_european_mainland,lfr_43c16b83b9587a,0.0,0.0,2.881766,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000455_r+000970,OCEAN,False,0.460154,8.115134,8.115134,0.0,hsub_european_mainland,lfr_f97592e5ea4cd5,0.0,0.0,8.115134,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000456_r+000908,OCEAN,False,0.020316,0.38238,0.38238,0.0,hsub_european_mainland,lfr_c8f2d871b46f6d,0.0,0.0,0.38238,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000457_r+000909,OCEAN,False,0.015088,0.283698,0.283698,0.0,hsub_european_mainland,lfr_8bb15e151178f1,0.0,0.0,0.283698,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000457_r+000969,OCEAN,False,0.115149,2.0326,2.0326,0.0,hsub_european_mainland,lfr_75237d459edf98,0.0,0.0,2.0326,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000458_r+000910,OCEAN,False,0.009545,0.179286,0.179286,0.0,hsub_european_mainland,lfr_6177d6576e3923,0.0,0.0,0.179286,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000458_r+000968,OCEAN,False,0.062619,1.106421,1.106421,0.0,hsub_european_mainland,lfr_0e8f502f1b70cb,0.0,0.0,1.106421,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000459_r+000869,OCEAN,False,0.117503,2.298178,2.295337,0.002841,hsub_european_mainland,lfr_9bb36939bf2808,0.0,0.0,2.105889,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000459_r+000911,OCEAN,False,0.055318,1.037918,1.037918,0.0,hsub_european_mainland,lfr_64abc50246fc87,0.0,0.0,1.037918,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000459_r+000968,OCEAN,False,0.219394,3.877002,3.876153,0.000849,hsub_european_mainland,lfr_66e8917544b938,0.0,0.0,3.876153,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000460_r+000868,OCEAN,False,0.365561,7.157649,7.157649,0.0,hsub_european_mainland,lfr_914a452ece6010,0.0,0.0,7.157649,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000460_r+000912,OCEAN,False,0.228661,4.28544,4.28544,0.0,hsub_european_mainland,lfr_8b69f3595f4612,0.0,0.0,4.28544,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000460_r+000968,OCEAN,False,0.346924,6.13117,6.13117,0.0,hsub_european_mainland,lfr_e7036cb1db88de,0.0,0.0,6.13117,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000461_r+000914,OCEAN,False,0.248615,4.649626,4.649626,0.0,hsub_european_mainland,lfr_94db33bc551e07,0.0,0.0,0.72564,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000461_r+000966,OCEAN,False,0.079566,1.409045,1.409045,0.0,hsub_european_mainland,lfr_f8977cc9c77189,0.0,0.0,1.343194,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000461_r+000967,OCEAN,False,0.236565,4.185053,4.185053,0.0,hsub_european_mainland,lfr_310e5b50fe3823,0.0,0.0,4.185053,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000462_r+000850,OCEAN,False,0.222524,4.434453,4.433143,0.00131,hsub_european_mainland,lfr_d6c7c9e6890446,0.0,0.0,4.433143,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000462_r+000851,OCEAN,False,0.006804,0.13542,0.133675,0.001745,hsub_european_mainland,lfr_c11161e8f728d4,0.0,0.0,0.133675,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000462_r+000852,OCEAN,False,0.166347,3.308557,3.307933,0.000624,hsub_european_mainland,lfr_8c215a55bde35a,0.0,0.0,3.307933,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
