region,rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,named_identification,is_single_connected_component,stage_role,anchors_contained_iceland,anchor_role,ownership_source,physical_source
iceland,0,22,102663.08,572146.42,-18.5767,65.01248,"[-2730895, 9197700, -1502235, 10025671]",,True,MAIN_LANDMASS_ICELAND,Akureyri;Hofn;Reykjavik,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,1,3772,375.38,1711.87,-7.01474,62.1352,"[-808260, 8844488, -749513, 8932807]",Faroe Islands;Faroe Islands (Streymoy),True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,2,3792,286.69,1314.11,-6.8639,62.21241,"[-792259, 8872425, -733475, 8940635]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,3,3747,176.73,803.51,-7.25858,62.08896,"[-831002, 8863907, -785932, 8897113]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,4,3818,171.35,788.95,-6.55448,62.28034,"[-746837, 8898956, -713009, 8953249]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,5,3686,111.21,497.53,-6.78141,61.84275,"[-773994, 8800707, -738434, 8838824]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,6,3823,30.46,140.38,-6.73829,62.29392,"[-758828, 8912360, -741284, 8948077]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,7,3811,27.26,125.43,-6.35202,62.26962,"[-714285, 8914703, -699507, 8931911]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,8,3167,13.15,65.48,-20.27226,63.4312,"[-2261618, 9198226, -2251500, 9213042]",Vestmannaeyjar (Heimaey);Vestmannaeyjar archipelago,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
iceland,9,3841,10.99,50.8,-6.30108,62.33463,"[-705193, 8934563, -696439, 8943717]",Faroe Islands,True,EXCLUDED_FROM_STAGE,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
