region,hex_id,is_terrestrial_hex,hex_land_km2,iceland_km2,malta_km2,gozo_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
iceland,h6000_q-001176_r+001839,False,0.7740797602931433,0.7740797602931433,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001176_r+001841,False,0.6950226112025678,0.6950226112025678,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001176_r+001842,False,1.0414500175017538,1.0414500175017538,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001176_r+001845,False,0.4795934468652066,0.4795934468652066,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001177_r+001835,False,0.8117541507559337,0.8117541507559337,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001177_r+001836,False,0.07247708975597145,0.03998052184541244,0.0,0.0,0.03249656791055901,0.4483702093996067,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001177_r+001839,True,2.852398648116933,2.852398648116933,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001177_r+001840,False,0.7693096220189473,0.7693096220189473,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001177_r+001841,True,5.01440365796268,5.01440365796268,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001177_r+001842,True,5.6514787770156865,5.6514787770156865,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001177_r+001843,False,1.5273397585049546,1.5273397585049546,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001177_r+001844,False,0.20746123497702554,0.18123485416720062,0.0,0.0,0.026226380809824913,0.1264158135987634,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
