region,rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,named_identification,is_single_connected_component,stage_role,anchors_contained_malta,anchors_contained_gozo,anchor_role,ownership_source,physical_source
malta,0,22,246.61,376.51,14.44019,35.88814,"[1593974, 4273979, 1622648, 4300387]",,True,MAIN_LANDMASS_MALTA,Birgu;Mdina;Valletta,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,1,14,66.03,101.21,14.25251,36.04711,"[1578896, 4302194, 1595924, 4311931]",,True,AUTHORISED_LANDMASS_GOZO,,Nadur;Victoria (Rabat);Xewkija,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,2,8,2.78,4.26,14.33628,36.01159,"[1594366, 4301144, 1597522, 4303381]",Comino,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,3,23,0.31,0.47,14.50251,35.90363,"[1613711, 4287037, 1615059, 4287626]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,4,29,0.1,0.16,14.40269,35.96578,"[1602839, 4295661, 1603862, 4296142]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,5,10,0.1,0.16,14.31993,36.01353,"[1593789, 4302251, 1594449, 4302688]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,6,19,0.04,0.06,14.40986,35.78739,"[1603898, 4271302, 1604306, 4271504]",Filfla,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,7,4,0.01,0.01,14.32507,36.01082,"[1594553, 4302047, 1594780, 4302170]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,8,15,0.01,0.01,14.18874,36.04691,"[1579415, 4306978, 1579533, 4307164]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,9,13,0.0,0.01,14.33116,36.02926,"[1595275, 4304610, 1595397, 4304683]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,10,28,0.0,0.01,14.44639,35.95336,"[1608118, 4294160, 1608216, 4294262]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,11,18,0.0,0.0,14.40689,35.78648,"[1603715, 4271262, 1603826, 4271306]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,12,27,0.0,0.0,14.4456,35.95276,"[1608043, 4294097, 1608110, 4294150]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,13,5,0.0,0.0,14.32347,36.01139,"[1594450, 4302147, 1594518, 4302224]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,14,21,0.0,0.0,14.56755,35.84019,"[1621615, 4278616, 1621681, 4278696]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,15,20,0.0,0.0,14.56074,35.81874,"[1620866, 4275672, 1620913, 4275738]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,16,11,0.0,0.0,14.27613,36.01516,"[1589177, 4302685, 1589254, 4302738]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,17,3,0.0,0.0,14.32911,36.00868,"[1595086, 4301787, 1595136, 4301842]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,18,16,0.0,0.0,14.18817,36.05152,"[1579405, 4307694, 1579436, 4307731]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
malta,19,12,0.0,0.0,14.32695,36.02754,"[1594843, 4304400, 1594911, 4304420]",,True,EXCLUDED_FROM_STAGE,,,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
