rank_by_area,part_index,ground_area_km2,centroid_lon,centroid_lat,named_identification,exclusion_reason,note
0,0,139625.5,8.24943,35.67748,North Africa (Tunisia/Algeria),NOT_AN_ISLAND_IN_SCOPE_MAINLAND_LANDMASS,
1,1905,101261.5,14.75455,41.2135,Italian mainland,NOT_AN_ISLAND_IN_SCOPE_MAINLAND_LANDMASS,
4,2711,15925.7,18.93639,42.52212,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
5,526,8719.8,9.10632,42.15463,Corsica,SEPARATE_CONTESTED_POLITY_NOT_SARDINIA,"In 1756 Corsica is contested between the Genoese Republic and Paoli's Corsican Republic; MAPGEN-009R already registered pol_corsican_republic with a de-facto/de-jure contested audit. That audit is preserved untouched. Corsica is NOT assigned to Sardinia on grounds of proximity, sea area or the later French annexation of 1768."
6,2070,246.6,14.44019,35.88814,Malta,HOSPITALLER_MALTA_NOT_SICILY_1756,"Malta in 1756 is held by the Order of St John under nominal Sicilian suzerainty, not administered as part of the island of Sicily. It is excluded rather than folded in."
7,174,110.8,8.41034,39.04199,Sant'Antioco,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
8,1602,83.7,11.99418,36.78753,Pantelleria,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
9,2091,66.0,14.25251,36.04711,Gozo,HOSPITALLER_MALTA_NOT_SICILY_1756,"Malta in 1756 is held by the Order of St John under nominal Sicilian suzerainty, not administered as part of the island of Sicily. It is excluded rather than folded in."
10,291,51.3,8.27971,41.05529,Asinara,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
11,190,50.9,8.27544,39.14072,San Pietro,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
12,2189,46.3,13.90583,40.72568,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
13,2322,37.1,14.93616,38.48737,Lipari (Aeolian),OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
14,2341,26.1,14.83927,38.56237,Salina (Aeolian),OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
15,1224,19.7,9.41037,41.23311,La Maddalena,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
16,2269,20.8,14.97098,38.39472,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
17,1656,19.9,12.3188,37.92806,Favignana (Egadi),OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
18,1377,15.5,9.4644,41.21,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
19,2548,12.6,15.21552,38.79276,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
20,1671,12.1,12.05734,37.97059,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
21,2133,10.3,14.22575,40.55051,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
22,2342,9.2,14.5632,38.57099,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
23,1968,8.1,13.17535,38.70522,Ustica,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
24,1841,7.3,12.96141,40.90817,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
25,437,7.5,8.93039,37.52569,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
26,1568,5.9,9.71256,40.90547,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
27,1753,5.9,12.4434,37.87776,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
28,1786,5.8,12.33509,37.99941,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
29,2114,5.0,14.35267,38.54294,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
30,996,4.2,9.34549,41.24119,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
31,1633,4.3,10.80432,37.12605,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
32,2213,3.9,14.01663,40.75752,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
33,1548,3.5,9.7276,40.86871,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
34,2376,3.4,15.06639,38.63607,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
35,1142,3.0,9.4116,41.19678,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
36,2080,2.8,14.33628,36.01159,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
37,1050,1.9,9.37326,41.29762,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
38,1004,1.7,9.34924,41.28292,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
39,1056,1.7,9.34626,41.30087,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
40,2035,1.4,13.42409,40.79305,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
41,1888,1.3,12.85706,40.93662,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
42,146,1.2,8.21834,40.9751,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
43,788,1.1,9.26296,41.36841,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
44,2067,1.1,13.05488,40.96866,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
