landmass,parent_hex_id,land_fragment_id,land_subject_or_component_id,land_area_km2,other_land_in_hex_km2,hex_total_land_km2,fragment_share_of_hex,other_land_share_of_hex,canonical_water_type,is_terrestrial_hex,whole_hex_assigned,outcome
Gozo,h6000_q-000148_r+000828,lfr_2372e4cacb4944,hsub_gozo_island,0.947636776,2.9017978,3.849434576,0.2462,0.7538,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000651_r+001267,lfr_dcd16dbfd0978a,hsub_great_britain_main_island,0.00073269,3.107541525,3.108274215,0.0002,0.9998,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000866_r+001533,lfr_8982bf80a936ba,hsub_great_britain_main_island,0.000497461,0.805178099,0.80567556,0.0006,0.9994,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000832_r+001452,lfr_8d3f91766238c1,hsub_great_britain_main_island,0.002229354,1.303101655,1.305331009,0.0017,0.9983,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000664_r+001338,lfr_1557a24cfcf272,hsub_great_britain_main_island,0.000303202,0.035918153,0.036221354,0.0084,0.9916,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000750_r+001382,lfr_50d56332cd223c,hsub_great_britain_main_island,0.01796846,1.498325204,1.516293664,0.0119,0.9881,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000839_r+001478,lfr_b03b6115ddf8c6,hsub_great_britain_main_island,0.009711601,0.542805686,0.552517287,0.0176,0.9824,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000839_r+001476,lfr_bd4dd74336d28f,hsub_great_britain_main_island,0.069281671,2.821111395,2.890393066,0.024,0.976,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000857_r+001504,lfr_feae376bbe5b50,hsub_great_britain_main_island,0.081802645,2.110626921,2.192429566,0.0373,0.9627,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000655_r+001343,lfr_8b63e83054f604,hsub_great_britain_main_island,0.150186117,3.791577187,3.941763304,0.0381,0.9619,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000818_r+001449,lfr_05cad176dfe3cc,hsub_great_britain_main_island,0.058237997,1.455457078,1.513695075,0.0385,0.9615,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000835_r+001463,lfr_45e7ce6fe0653b,hsub_great_britain_main_island,0.145226945,2.116089661,2.261316606,0.0642,0.9358,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000858_r+001556,lfr_a0e0635b09744c,hsub_great_britain_main_island,0.056325335,0.712245202,0.768570536,0.0733,0.9267,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000721_r+001272,lfr_dca169ef8057ed,hsub_great_britain_main_island,0.000381308,0.004217193,0.004598501,0.0829,0.9171,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000718_r+001240,lfr_6d1279f7956528,hsub_great_britain_main_island,8.6074e-05,0.000884322,0.000970396,0.0887,0.9113,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000858_r+001504,lfr_c65013c63a44f6,hsub_great_britain_main_island,0.439968408,4.070183853,4.51015226,0.0976,0.9024,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000751_r+001440,lfr_b5c75eb1c2cc97,hsub_great_britain_main_island,0.015242215,0.119642464,0.134884679,0.113,0.887,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000867_r+001534,lfr_6df6baf5133bb4,hsub_great_britain_main_island,0.318133645,2.198521215,2.51665486,0.1264,0.8736,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000846_r+001475,lfr_18e67515d37e72,hsub_great_britain_main_island,0.224778139,1.091786008,1.316564148,0.1707,0.8293,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000856_r+001502,lfr_6202913a402f23,hsub_great_britain_main_island,0.597767709,2.849686775,3.447454484,0.1734,0.8266,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000751_r+001304,lfr_7d152f6a517de4,hsub_great_britain_main_island,0.616038633,2.611997602,3.228036236,0.1908,0.8092,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000872_r+001553,lfr_9c4987167cf4f3,hsub_great_britain_main_island,0.108582613,0.386893271,0.495475884,0.2191,0.7809,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000653_r+001268,lfr_b0f4631821d164,hsub_great_britain_main_island,0.486579444,1.73198389,2.218563334,0.2193,0.7807,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000868_r+001527,lfr_5118da3cf18d67,hsub_great_britain_main_island,0.653983958,2.127822055,2.781806013,0.2351,0.7649,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000654_r+001267,lfr_8d94434e3aa13c,hsub_great_britain_main_island,1.498879702,4.715559817,6.214439519,0.2412,0.7588,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000819_r+001450,lfr_195372beecde4a,hsub_great_britain_main_island,0.485436715,1.512742172,1.998178887,0.2429,0.7571,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000867_r+001537,lfr_b392c7f0dcb27f,hsub_great_britain_main_island,0.099791309,0.303885686,0.403676994,0.2472,0.7528,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000859_r+001555,lfr_c08af4a715d24f,hsub_great_britain_main_island,0.239904539,0.677993968,0.917898508,0.2614,0.7386,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
