stage,map_source_id,copy_id,sheet,side,axis,dimensionality,pixel_x,pixel_y,degree_value,frame,spacing_px,lattice_rms_px,window_lo,window_hi,threshold,crossed_with_another_stroke
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,940.0,172.0,7.333333,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,1059.0,172.0,7.5,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,1176.5,172.0,7.666667,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,1293.5,172.0,7.833333,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,1411.5,172.0,8.0,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,1530.5,172.0,8.166667,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,1768.5,172.0,8.5,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,2108.5,172.0,9.0,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,2587.0,172.0,9.666667,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,2822.9,172.0,10.0,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,2941.5,172.0,10.166667,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,3058.5,172.0,10.333333,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,3176.5,172.0,10.5,PLATE,117.786,2.673,168,176,175,NO
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,top,lon,KNOWN_LONGITUDE_ONLY,3296.0,172.0,10.666667,PLATE,117.786,2.673,168,176,175,NO
