stage,map_source_id,sheet,compartment,area_km2_3857,verdict,portuguese_places,spanish_places,claimed,rule
MAPGEN-028,hsrc_c61726597ef3,N,0,41921.0,MIXED_EVIDENCE,Alcobaca|Leiria|Nisa|Pombal|Portalegre|Tomar,Alburquerque|Valencia de Alcantara,NO,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,1,10745.4,PORTUGAL,Mirandela,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,2,5955.8,PORTUGAL,Amarante|Chaves,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,3,5391.4,PORTUGAL,Braganca,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,4,4315.2,NO_IDENTIFIED_PLACE,,,NO,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,5,3550.4,PORTUGAL,Lamego,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,6,3489.0,PORTUGAL,Viseu,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,7,3065.0,PORTUGAL,Coimbra|Figueira da Foz,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,8,2742.1,NO_IDENTIFIED_PLACE,,,NO,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,9,2650.1,PORTUGAL,Penafiel|Porto,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,10,2427.8,PORTUGAL,Barcelos,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,11,2300.2,NO_IDENTIFIED_PLACE,,,NO,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,12,2109.1,PORTUGAL,Braga|Guimaraes,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,13,1838.1,PORTUGAL,Aveiro,,YES,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
MAPGEN-028,hsrc_c61726597ef3,N,14,1148.3,NO_IDENTIFIED_PLACE,,,NO,claimed only if at least one identified place inside it resolves to Portugal and none resolves to Spain
