stage,map_source_id,copy_id,sheet,observation_id,place,geonameid,country,symbol_class,dimensionality,reading_round,read_x,read_y,anchor_x,anchor_y,lock_shift_px,ring_score,lon,lat,metric_set
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_00,Abrantes,2272447,PT,PLAIN_CIRCLE,TRUE_2D,2,2528.3,2758.7,2525.86,2757.77,2.63,0.376,-8.2,39.46667,MODEL_SELECTION_HOLDOUT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_01,Alcobaca,2272147,PT,PLAIN_CIRCLE,TRUE_2D,1,1914.0,2647.0,1911.22,2642.83,5.01,0.395,-8.97749,39.55223,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_02,Amarante,2742965,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2608.7,791.7,2613.12,793.88,4.98,0.435,-8.08245,41.27271,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_03,Aveiro,2742611,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,1992.7,1548.3,1990.9,1548.84,1.83,0.509,-8.64643,40.64575,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_04,Barcelos,2742416,PT,PLAIN_CIRCLE,TRUE_2D,1,2067.0,736.0,2064.29,730.91,5.76,0.358,-8.61843,41.53174,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_05,Braga,2742032,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2204.3,714.0,2205.74,718.96,5.16,0.464,-8.42311,41.5514,MODEL_SELECTION_HOLDOUT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_06,Braganca,2742027,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,3531.0,425.0,3535.68,429.61,6.57,0.148,-6.75898,41.80716,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_07,Chaves,2740761,PT,PLAIN_CIRCLE,TRUE_2D,1,2977.0,433.0,2976.19,430.96,2.2,0.378,-7.46879,41.74019,BLIND_VALIDATION
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_08,Coimbra,2740637,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2176.8,1928.5,2173.57,1933.01,5.55,0.318,-8.41996,40.20686,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_09,Figueira da Foz,2739590,PT,PLAIN_CIRCLE,TRUE_2D,1,1949.3,2080.0,1953.81,2073.8,7.65,0.322,-8.86179,40.15085,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_10,Guimaraes,2738752,PT,PLAIN_CIRCLE,TRUE_2D,1,2376.7,735.3,2369.73,727.66,10.35,0.172,-8.29619,41.44443,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_11,Lamego,2738459,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2716.3,1130.0,2717.03,1129.86,0.71,0.508,-7.80991,41.09741,MODEL_SELECTION_HOLDOUT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_12,Leiria,2267095,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2085.3,2446.3,2088.38,2440.83,6.29,0.325,-8.80705,39.74362,BLIND_VALIDATION
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_13,Mirandela,2737639,PT,PLAIN_CIRCLE,TRUE_2D,2,3109.0,841.7,3102.82,844.87,6.96,0.344,-7.18695,41.48739,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_14,Nisa,2265525,PT,PLAIN_CIRCLE,TRUE_2D,2,2830.7,2702.7,2830.23,2703.94,1.35,0.35,-7.64908,39.51499,BLIND_VALIDATION
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_15,Penafiel,2736469,PT,PLAIN_CIRCLE,TRUE_2D,1,2405.0,973.3,2400.15,975.94,5.51,0.409,-8.28285,41.20835,MODEL_SELECTION_HOLDOUT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_16,Pombal,2264575,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2235.3,2239.7,2235.06,2243.33,3.67,0.166,-8.62847,39.91674,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_17,Portalegre,2264508,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,3041.3,2902.0,3035.85,2898.36,6.58,0.163,-7.43122,39.29379,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_18,Porto,2735943,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2104.0,1082.7,2106.25,1086.38,4.34,0.313,-8.61097,41.1485,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_19,Tomar,2262644,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2376.3,2513.3,2383.0,2520.58,9.85,0.195,-8.40924,39.60199,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_20,Valencia de Alcantara,2509950,ES,PLAIN_CIRCLE,TRUE_2D,2,3222.0,2799.0,3224.65,2805.8,7.3,0.203,-7.24435,39.41148,BLIND_VALIDATION
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0681,N,obs_n_21,Viseu,2732265,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2664.7,1588.0,2665.01,1590.06,2.09,0.482,-7.90905,40.66165,BLIND_VALIDATION
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0682,S,obs_s_00,Alburquerque,2522183,ES,PLAIN_CIRCLE,TRUE_2D,2,3204.7,716.0,3205.03,715.95,0.37,0.337,-7.00234,39.22076,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0682,S,obs_s_01,Alcacer do Sal,2272212,PT,PLAIN_CIRCLE,TRUE_2D,2,2027.7,1341.7,2030.48,1348.49,7.38,0.139,-8.51444,38.37326,MODEL_SELECTION_HOLDOUT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0682,S,obs_s_02,Ayamonte,2521456,ES,CITY_SIGN_CIRCLE,TRUE_2D,1,2809.7,2421.7,2804.97,2419.09,5.36,0.485,-7.40807,37.21329,BLIND_VALIDATION
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0682,S,obs_s_03,Badajoz,2521420,ES,CITY_SIGN_CIRCLE,TRUE_2D,1,3280.7,965.7,3277.24,964.93,3.5,0.392,-6.97061,38.87789,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0682,S,obs_s_04,Beja,2270985,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,2456.3,1704.7,2456.16,1708.04,3.38,0.442,-7.86284,38.01469,FIT_CONSTRAINT
MAPGEN-028,hsrc_c61726597ef3,copy_ucbg_nc_0682,S,obs_s_05,Elvas,2268615,PT,CITY_SIGN_CIRCLE,TRUE_2D,1,3100.7,941.0,3101.04,944.81,3.83,0.246,-7.16282,38.8815,BLIND_VALIDATION
