revision_id,scenario_id,territorial_target_type,territorial_target_id,old_promotion_id,new_promotion_id,old_status,new_status,old_controller,new_controller,old_uncertainty_km,new_uncertainty_km,added_sources,removed_sources,reason
rev_39f417b2a898,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000395_r+001248,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_731acb1e0674,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000396_r+001249,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_3066211fe384,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000397_r+001250,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_0e1058116887,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000396_r+001250,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_a0caa346e859,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000398_r+001251,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_478071b9d7f3,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000397_r+001251,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_65dcd1102d6d,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000400_r+001252,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_7dfe1e2a1f73,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000399_r+001252,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_9ff07f983192,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000398_r+001252,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_0eda0a6f70c1,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000397_r+001252,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_6908d6ad931c,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000396_r+001252,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_e3f2a5b76fe3,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000401_r+001253,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_88ec655e1999,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000400_r+001253,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_a8fb1356d570,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000398_r+001253,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_7a669e7eb87d,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000397_r+001253,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_55eb9698598b,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000396_r+001253,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_099916469a1c,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000408_r+001254,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
rev_d32beee5309c,seven_years_war_1756_08_01,TERRESTRIAL_HEX,h6000_q-000407_r+001254,promo_004cd3264a32,promo_115617644595,CONTROLLED,UNRESOLVED,sp_992101257e91,,2.975,9.168,hsrc_34735c52ef0d,,"re-measured at the source's own positional uncertainty (9.168 km, four independent settlement checks); no independent second source corroborates the Saxon core, so the conservative model is applied to canonical authority instead of keeping the stale 2.975 km rows"
