run_id,region,island_group_id,component_count,total_area_ground_km2,total_area_projected_km2,largest_component_ground_area_km2,largest_component_area_share,land_hull_ratio,max_component_separation_ground_km,group_extent_ground_km,group_extent_projected_km,covered_hexes,group_primary_hex,group_status,unit_count,preserved_ground_km2,diameter_flag
geography_v1_3_islands_006r_20260809,aegean,isl_g_4080fb3eac60,41,0.6798,1.0798,0.4812,0.7078,0.0073,5.028,16.825,21.223,7,h6000_q+000030_r+000866,PRESERVED,1,0.6798,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_3accd69dbf0b,48,1.4027,2.2295,1.3866,0.9885,0.0215,1.642,16.798,21.149,5,h6000_q+000040_r+000866,PRESERVED,1,1.4027,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_e1e9127a6dd2,168,17.9594,28.5098,13.9503,0.7768,0.1938,1.047,15.886,19.98,8,h6000_q+000036_r+000865,PRESERVED,1,17.9594,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_ad73aed80f11,23,0.023,0.0368,0.0165,0.7174,0.0003,1.285,14.791,18.706,7,h6000_q+000030_r+000872,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_b3a3717a508a,21,0.0774,0.1237,0.0501,0.6468,0.0049,1.047,10.661,13.463,4,h6000_q+000027_r+000872,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_4d83fabdefe2,3,0.0085,0.0134,0.0082,0.9649,0.522,0.038,0.176,0.222,1,h6000_q+000033_r+000864,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_af9ff62c395e,3,0.0002,0.0004,0.0001,0.5658,0.0913,0.078,0.172,0.216,1,h6000_q+000043_r+000860,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_549a5ecc90d8,2,0.0004,0.0006,0.0003,0.7125,0.7966,0.001,0.034,0.043,1,h6000_q+000035_r+000860,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,aegean,isl_g_504e5aa2a633,1,0.0001,0.0001,0.0001,1.0,0.873,0.0,0.015,0.018,1,h6000_q+000030_r+000870,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,bikini,isl_g_bf82309fc3f1,4,1.2347,1.2956,0.6539,0.5296,0.0342,3.632,19.39,19.798,5,h6000_q+002943_r+000252,PRESERVED,1,1.2347,False
geography_v1_3_islands_006r_20260809,bikini,isl_g_3a56830d9ac7,9,3.9093,4.0989,2.3113,0.5912,0.1177,1.958,14.758,15.149,6,h6000_q+002946_r+000251,PRESERVED,1,3.9093,False
geography_v1_3_islands_006r_20260809,bikini,isl_g_d62863a01f2c,7,0.4202,0.4404,0.1508,0.3589,0.0674,1.6,10.34,10.577,4,h6000_q+002942_r+000249,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,bikini,isl_g_fd56b5787f2d,4,1.6837,1.7643,0.8959,0.5321,0.2393,1.77,8.889,9.071,2,h6000_q+002944_r+000248,PRESERVED,1,1.6837,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_f2f52eb040f6,15,23.5765,26.3501,21.8731,0.9278,0.275,0.421,18.856,19.918,8,h6000_q-001396_r+000403,PRESERVED,1,23.5765,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_52de0f05e45c,13,7.1872,8.0198,4.2909,0.597,0.1335,2.502,17.277,18.214,5,h6000_q-001398_r+000400,PRESERVED,1,7.1872,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_63172ce44925,97,1.7347,1.9349,0.6462,0.3725,0.0276,1.069,17.174,18.083,5,h6000_q-001402_r+000399,PRESERVED,1,1.7347,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_ca14408c71fc,22,3.2035,3.5761,1.1693,0.365,0.0433,4.353,16.976,17.891,7,h6000_q-001402_r+000401,PRESERVED,1,3.2035,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_ff3b8e01f52e,14,8.4137,9.3993,3.3379,0.3967,0.0714,1.357,16.243,17.192,7,h6000_q-001399_r+000403,PRESERVED,1,8.4137,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_41a0f303267e,26,3.5864,4.0044,1.9873,0.5541,0.0553,2.603,15.938,16.846,5,h6000_q-001405_r+000401,PRESERVED,1,3.5864,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_a5eb2d4b5882,9,10.4677,11.6951,8.4577,0.808,0.2717,1.186,15.337,16.165,5,h6000_q-001402_r+000402,PRESERVED,1,10.4677,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_5a4b302681f8,15,1.3949,1.5568,0.7311,0.5242,0.0425,5.85,15.038,15.921,5,h6000_q-001407_r+000400,PRESERVED,1,1.3949,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_8ab971ec78cc,5,0.7759,0.8604,0.7048,0.9084,0.0778,2.939,10.685,11.227,4,h6000_q-001392_r+000387,PRESERVED,1,0.7759,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_fe4c9b56c271,5,0.0011,0.0012,0.0005,0.4474,0.0017,0.107,7.271,7.658,3,h6000_q-001397_r+000387,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_0ff559f54d55,5,0.1164,0.1289,0.1062,0.9127,0.1615,1.021,2.378,2.51,1,h6000_q-001394_r+000385,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_2aedc342ee7b,1,0.3179,0.3555,0.3179,1.0,0.8035,0.0,0.883,0.932,1,h6000_q-001396_r+000404,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,caribbean,isl_g_04f414ca4d40,1,0.034,0.0378,0.034,1.0,0.9802,0.0,0.28,0.296,1,h6000_q-001402_r+000397,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_df7f3e9203a4,20,10.2935,11.3496,8.3994,0.816,0.2694,1.52,18.607,19.482,6,h6000_q-003143_r-000375,PRESERVED,1,10.2935,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_e70524440aa8,7,48.4394,53.1332,35.1266,0.7252,0.4824,1.338,15.399,16.087,8,h6000_q-003153_r-000365,PRESERVED,1,48.4394,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_237c90792920,12,0.0798,0.0876,0.0347,0.4342,0.0022,1.649,14.686,15.373,4,h6000_q+003512_r-000364,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_da9fca873ea1,3,10.7941,11.8094,10.7802,0.9987,0.2139,8.218,13.304,13.897,5,h6000_q+003519_r-000359,PRESERVED,1,10.7941,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_2634e6042f1f,5,0.1534,0.1682,0.0911,0.5941,0.0045,3.25,12.495,13.047,4,h6000_q+003520_r-000364,BELOW_MIN_AREA,0,0.0,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_86cb1aabdf03,7,2.6768,2.9279,1.0054,0.3756,0.0893,3.266,10.77,11.291,6,h6000_q-003155_r-000358,PRESERVED,1,2.6768,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_g_07f3f3c90809,2,0.0101,0.0111,0.0065,0.6436,0.016,5.559,5.716,5.997,2,h6000_q+003518_r-000362,BELOW_MIN_AREA,0,0.0,False
