run_id,region,overlay_unit_id,hex_id,intersection_area_km2,is_primary
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,h6000_q+002179_r+000803,0.01046,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,h6000_q+002179_r+000804,0.004655,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,h6000_q+002179_r+000805,0.022522,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,h6000_q+002179_r+000806,0.001631,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,h6000_q+002180_r+000802,0.001155,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,h6000_q+002181_r+000802,0.770891,True
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,h6000_q+002186_r+000810,0.917487,True
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,h6000_q+002187_r+000809,0.104451,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,h6000_q+002188_r+000809,0.000297,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,h6000_q+002189_r+000807,0.012672,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,h6000_q+002189_r+000808,0.011138,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,h6000_q+002185_r+000808,0.064201,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,h6000_q+002186_r+000807,0.013793,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,h6000_q+002187_r+000806,0.02908,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,h6000_q+002188_r+000805,1.354228,True
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,h6000_q+002189_r+000805,0.0518,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_14766893dbd1,h6000_q+002185_r+000813,1.557669,True
geography_v1_3_islands_006r_20260809,kanto,isl_u_14766893dbd1,h6000_q+002186_r+000811,0.003609,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_14766893dbd1,h6000_q+002186_r+000813,0.000156,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_6cb1f86ddfbc,h6000_q+002185_r+000817,3.499237,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_6cb1f86ddfbc,h6000_q+002186_r+000816,0.345937,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_6cb1f86ddfbc,h6000_q+002186_r+000817,4.527837,True
geography_v1_3_islands_006r_20260809,kanto,isl_u_67b0fe21a344,h6000_q+002189_r+000789,1.677765,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_67b0fe21a344,h6000_q+002190_r+000788,0.590326,False
geography_v1_3_islands_006r_20260809,kanto,isl_u_67b0fe21a344,h6000_q+002190_r+000789,4.217612,True
geography_v1_3_islands_006r_20260809,kanto,isl_u_67b0fe21a344,h6000_q+002191_r+000787,0.265964,False
geography_v1_3_islands_006r_20260809,wake,isl_u_3c53868a4ba5,h6000_q+002880_r+000422,1.327233,False
geography_v1_3_islands_006r_20260809,wake,isl_u_3c53868a4ba5,h6000_q+002881_r+000421,5.027563,True
geography_v1_3_islands_006r_20260809,wake,isl_u_3c53868a4ba5,h6000_q+002881_r+000422,1.777265,False
geography_v1_3_islands_006r_20260809,wake,isl_u_3c53868a4ba5,h6000_q+002882_r+000421,0.047399,False
geography_v1_3_islands_006r_20260809,midway,isl_u_533f3771eb94,h6000_q-003606_r+000630,5.641006,True
geography_v1_3_islands_006r_20260809,midway,isl_u_533f3771eb94,h6000_q-003606_r+000631,0.19159,False
geography_v1_3_islands_006r_20260809,midway,isl_u_533f3771eb94,h6000_q-003605_r+000630,1.803707,False
geography_v1_3_islands_006r_20260809,malta,isl_u_d1d60d2d0031,h6000_q-000150_r+000830,0.000274,False
geography_v1_3_islands_006r_20260809,malta,isl_u_d1d60d2d0031,h6000_q-000149_r+000828,0.001753,False
geography_v1_3_islands_006r_20260809,malta,isl_u_d1d60d2d0031,h6000_q-000148_r+000828,4.444116,True
geography_v1_3_islands_006r_20260809,malta,isl_u_d1d60d2d0031,h6000_q-000146_r+000827,0.158595,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000975_r+001695,3.693802,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000974_r+001694,14.72627,True
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000974_r+001695,13.455845,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000973_r+001693,1.308712,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000973_r+001694,12.097763,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000971_r+001691,11.567653,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000970_r+001690,0.391088,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000969_r+001688,1.270372,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000969_r+001689,0.709678,False
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,h6000_q-000968_r+001688,1.652556,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_3a56830d9ac7,h6000_q+002945_r+000251,0.016719,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_3a56830d9ac7,h6000_q+002946_r+000250,0.033578,False
