run_id,region,overlay_unit_id,latitude_deg,projected_area_km2,ground_area_km2,projected_over_ground_ratio,expected_ratio_1_over_cos2,extent_ground_km
geography_v1_3_islands_006r_20260809,kanto,isl_u_b100730b47eb,35.044,0.8113,0.5426,1.4952,1.4919,17.379
geography_v1_3_islands_006r_20260809,kanto,isl_u_3ed4b031ff70,35.324,1.046,0.6948,1.5055,1.5022,16.35
geography_v1_3_islands_006r_20260809,kanto,isl_u_e2a34f4845b3,35.142,1.5131,1.0095,1.4989,1.4955,18.073
geography_v1_3_islands_006r_20260809,kanto,isl_u_14766893dbd1,35.443,1.5614,1.0341,1.5099,1.5066,10.712
geography_v1_3_islands_006r_20260809,kanto,isl_u_6cb1f86ddfbc,35.593,8.373,5.5247,1.5156,1.5123,3.544
geography_v1_3_islands_006r_20260809,kanto,isl_u_67b0fe21a344,34.518,6.7517,4.5726,1.4766,1.473,7.548
geography_v1_3_islands_006r_20260809,wake,isl_u_3c53868a4ba5,19.292,8.1795,7.2484,1.1285,1.1225,7.028
geography_v1_3_islands_006r_20260809,midway,isl_u_533f3771eb94,28.208,7.6363,5.9081,1.2925,1.2877,7.409
geography_v1_3_islands_006r_20260809,malta,isl_u_d1d60d2d0031,36.01,4.6047,3.0068,1.5314,1.5283,17.739
geography_v1_3_islands_006r_20260809,litla_dimun,isl_u_9b40909e69f8,61.744,60.8737,13.6935,4.4454,4.4619,19.375
geography_v1_3_islands_006r_20260809,bikini,isl_u_3a56830d9ac7,11.591,4.0989,3.9093,1.0485,1.0421,14.758
geography_v1_3_islands_006r_20260809,bikini,isl_u_fd56b5787f2d,11.502,1.7643,1.6837,1.0479,1.0414,8.889
geography_v1_3_islands_006r_20260809,bikini,isl_u_bf82309fc3f1,11.698,1.2956,1.2347,1.0493,1.0429,19.39
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,37.402,28.5098,17.9594,1.5875,1.5846,15.886
geography_v1_3_islands_006r_20260809,aegean,isl_u_3accd69dbf0b,37.451,2.2295,1.4027,1.5894,1.5867,16.798
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,37.423,1.0798,0.6798,1.5884,1.5855,16.825
geography_v1_3_islands_006r_20260809,caribbean,isl_u_63172ce44925,18.303,1.9349,1.7347,1.1154,1.1094,17.174
geography_v1_3_islands_006r_20260809,caribbean,isl_u_a5eb2d4b5882,18.446,11.6951,10.4677,1.1173,1.1113,15.337
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,18.438,9.3993,8.4137,1.1171,1.1112,16.243
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ca14408c71fc,18.375,3.5761,3.2035,1.1163,1.1103,16.976
geography_v1_3_islands_006r_20260809,caribbean,isl_u_8ab971ec78cc,17.785,0.8604,0.7759,1.1089,1.1029,10.685
geography_v1_3_islands_006r_20260809,caribbean,isl_u_5a4b302681f8,18.355,1.5568,1.3949,1.1161,1.1101,15.038
geography_v1_3_islands_006r_20260809,caribbean,isl_u_f2f52eb040f6,18.477,26.3501,23.5765,1.1176,1.1117,18.856
geography_v1_3_islands_006r_20260809,caribbean,isl_u_41a0f303267e,18.393,4.0044,3.5864,1.1166,1.1106,15.938
geography_v1_3_islands_006r_20260809,caribbean,isl_u_52de0f05e45c,18.337,8.0198,7.1872,1.1158,1.1099,17.277
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_64bde2ce3b3e,61.099,4.7391,1.1109,4.266,4.2812,1.999
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_a7b831e214cc,61.103,2.1408,0.5017,4.2671,4.2823,1.331
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_e871e0222683,61.113,6.0507,1.4171,4.2698,4.2849,1.786
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_2c67b82559f6,61.122,2.5871,0.6056,4.272,4.2875,1.234
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_04f29a68fa1c,61.084,2.7312,0.6408,4.2622,4.2772,7.866
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_ee362e0ef358,61.339,30.4224,7.0237,4.3314,4.3471,14.659
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c50393e88ba5,61.255,25.5686,5.9347,4.3083,4.3239,14.124
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,61.303,37.0746,8.579,4.3216,4.3372,16.567
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_3dac61f6af84,60.958,4.4752,1.0584,4.2283,4.2434,1.502
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c0b017082e3a,60.953,4.503,1.0653,4.227,4.242,2.097
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_2e42026814cf,60.972,2.2938,0.542,4.2321,4.2471,1.066
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_efba321bdca3,60.958,2.9514,0.698,4.2284,4.2433,1.27
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_dba79fb0595b,60.983,15.2871,3.6096,4.2351,4.2501,2.922
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_b4daafc53619,60.949,2.1877,0.5177,4.2258,4.241,0.998
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_f2297a5ff785,60.961,12.8248,3.0326,4.229,4.244,2.704
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_1c226c82ed33,60.942,5.8496,1.3849,4.2238,4.239,1.958
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_808807b43c61,60.932,2.1757,0.5154,4.2214,4.2365,1.157
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,61.206,49.3412,11.4886,4.2948,4.3103,17.191
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,-17.258,11.3496,10.2935,1.1026,1.0965,18.607
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,-16.767,53.1332,48.4394,1.0969,1.0908,15.399
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_da9fca873ea1,-16.516,11.8094,10.7941,1.0941,1.0879,12.933
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_86cb1aabdf03,-16.491,2.9279,2.6768,1.0938,1.0876,10.77
