run_id,variant,region,p_minimum_auto_preserve_area_km2,p_island_group_max_distance_km,p_island_group_max_diameter_km,p_minimum_significant_component_area_km2,p_minimum_largest_component_share,overlay_unit_count,group_count,micro_excluded_groups,preserved_ground_km2,excluded_ground_km2,required_overlay_hits,required_overlay_total,exact_catalogue_matches,catalogue_total,false_overlay_count
geography_v1_3_islands_006r_20260809,baseline,kanto,0.5,10,20,0.05,0.2,6,35,0,13.378,2.135,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,wake,0.5,10,20,0.05,0.2,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,midway,0.5,10,20,0.05,0.2,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,malta,0.5,10,20,0.05,0.2,1,3,0,3.007,0.042,0,0,1,1,0
geography_v1_3_islands_006r_20260809,baseline,litla_dimun,0.5,10,20,0.05,0.2,1,4,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,bikini,0.5,10,20,0.05,0.2,3,4,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,aegean,0.5,10,20,0.05,0.2,3,9,0,20.042,0.11,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,caribbean,0.5,10,20,0.05,0.2,9,13,0,60.34,0.469,1,1,1,1,0
geography_v1_3_islands_006r_20260809,baseline,norway_skerries,0.5,10,20,0.05,0.2,18,13,2,49.726,14.003,0,0,1,1,0
geography_v1_3_islands_006r_20260809,baseline,fiji_dateline,0.5,10,20,0.05,0.2,4,14,0,72.204,0.735,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,kanto,0.25,10,20,0.05,0.2,7,35,1,13.803,1.71,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,wake,0.25,10,20,0.05,0.2,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,midway,0.25,10,20,0.05,0.2,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,malta,0.25,10,20,0.05,0.2,1,3,0,3.007,0.042,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,litla_dimun,0.25,10,20,0.05,0.2,1,4,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,bikini,0.25,10,20,0.05,0.2,4,4,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,aegean,0.25,10,20,0.05,0.2,3,9,0,20.042,0.11,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,caribbean,0.25,10,20,0.05,0.2,10,13,0,60.658,0.151,1,1,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,norway_skerries,0.25,10,20,0.05,0.2,26,13,2,52.799,10.93,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=0.25,fiji_dateline,0.25,10,20,0.05,0.2,5,14,0,72.468,0.471,0,0,1,1,0
geography_v1_3_islands_006r_20260809,minimum_auto_preserve_area_km2=1.0,kanto,1.0,10,20,0.05,0.2,4,35,0,12.141,3.372,1,1,1,1,0
