run_id,region,component_count,lost_component_count,lost_area_ground_km2,lost_area_projected_km2,group_count,single_component_groups,multi_component_groups,overlay_unit_count,groups_preserved,groups_split,groups_below_min_area,groups_micro_islet_excluded,preserved_area_ground_km2,preserved_area_projected_km2,excluded_area_ground_km2,area_conservation_ok,overlay_area_min_km2,overlay_area_median_km2,overlay_area_p90_km2,overlay_area_p95_km2,overlay_area_max_km2,covered_hexes_min,covered_hexes_max,hexes_with_multiple_overlays,overlays_on_non_ocean_hex,groups_over_diameter_flag,min_area_ground_km2_config
geography_v1_3_islands_006r_20260809,kanto,3768,2464,15.5129,23.2494,35,1,34,6,6,0,29,0,13.3783,20.0565,2.1346,True,0.5426,1.0218,5.0487,5.2867,5.5247,3,6,0,0,0,0.5
geography_v1_3_islands_006r_20260809,wake,3,3,7.2484,8.1795,1,0,1,1,1,0,0,0,7.2484,8.1795,0.0,True,7.2484,7.2484,7.2484,7.2484,7.2484,4,4,0,0,0,0.5
geography_v1_3_islands_006r_20260809,midway,3,3,5.9081,7.6363,1,0,1,1,1,0,0,0,5.9081,7.6363,0.0,True,5.9081,5.9081,5.9081,5.9081,5.9081,3,3,0,0,0,0.5
geography_v1_3_islands_006r_20260809,malta,36,26,3.0489,4.6689,3,0,3,1,1,0,2,0,3.0068,4.6047,0.0421,True,3.0068,3.0068,3.0068,3.0068,3.0068,4,4,0,0,0,0.5
geography_v1_3_islands_006r_20260809,litla_dimun,42,18,13.7943,61.3161,4,1,3,1,1,0,3,0,13.6935,60.8737,0.1008,True,13.6935,13.6935,13.6935,13.6935,13.6935,10,10,0,0,0,0.5
geography_v1_3_islands_006r_20260809,bikini,24,24,7.2478,7.5992,4,0,4,3,3,0,1,0,6.8277,7.1588,0.4201,True,1.2347,1.6837,3.4642,3.6867,3.9093,2,6,0,0,0,0.5
geography_v1_3_islands_006r_20260809,aegean,612,310,20.1515,31.9943,9,1,8,3,3,0,6,0,20.0419,31.8191,0.1096,True,0.6798,1.4027,14.6481,16.3037,17.9594,5,8,0,0,0,0.5
geography_v1_3_islands_006r_20260809,caribbean,258,228,60.8097,67.9204,13,2,11,9,9,0,4,0,60.3405,67.3969,0.4692,True,0.7759,3.5864,13.0895,18.333,23.5765,4,8,3,0,0,0.5
geography_v1_3_islands_006r_20260809,norway_skerries,4042,2800,63.7289,272.6794,13,0,13,18,5,2,4,2,49.726,213.204,14.0029,True,0.5017,1.0881,7.4903,9.0154,11.4886,1,18,9,0,0,0.5
geography_v1_3_islands_006r_20260809,fiji_dateline,124,70,72.939,80.0261,14,2,12,4,4,0,10,0,72.2038,79.2201,0.7352,True,2.6768,10.5438,37.1458,42.7926,48.4394,5,8,0,0,0,0.5
