run_id,region,component_count,lost_component_count,lost_ground_area_km2,overlay_unit_count,overlay_ground_area_km2,excluded_ground_area_km2,group_count,significant_component_count,max_group_extent_km,median_group_extent_km,micro_islet_excluded_count,duplicate_terrestrial_overlay_count
geography_v1_3_islands_006r_20260809,kanto,3768,2464,15.5129,6,13.3783,2.1346,35,14,18.49,8.377,0,0
geography_v1_3_islands_006r_20260809,wake,3,3,7.2484,1,7.2484,0.0,1,2,7.028,7.028,0,0
geography_v1_3_islands_006r_20260809,midway,3,3,5.9081,1,5.9081,0.0,1,3,7.409,7.409,0,0
geography_v1_3_islands_006r_20260809,malta,36,26,3.0489,1,3.0068,0.0421,3,3,17.739,2.521,0,0
geography_v1_3_islands_006r_20260809,litla_dimun,42,18,13.7943,1,13.6935,0.1008,4,4,19.375,7.301,0,0
geography_v1_3_islands_006r_20260809,bikini,24,24,7.2478,3,6.8277,0.4201,4,13,19.39,12.549,0,0
geography_v1_3_islands_006r_20260809,aegean,612,310,20.1515,3,20.0419,0.1096,9,10,16.825,10.661,0,0
geography_v1_3_islands_006r_20260809,caribbean,258,228,60.8097,9,60.3405,0.4692,13,56,18.856,15.337,0,0
geography_v1_3_islands_006r_20260809,norway_skerries,4042,2800,63.7289,18,49.726,14.0029,13,134,17.191,14.124,2,0
geography_v1_3_islands_006r_20260809,fiji_dateline,124,70,72.939,4,72.2038,0.7352,14,18,18.607,4.913,0,0
