run_id,region,hex_id,hex_ground_km2,land_fraction,land_ground_km2_est,admin0_coverage_ground_km2,admin0_coverage_ratio_of_land,coverage_quality
human_geography_v1_20260809,kanto,h6000_q+002137_r+000860,19.7384,1.0,19.7384,19.7384,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002137_r+000861,19.719117,0.988526,19.492855,19.557059,1.003294,FULL
human_geography_v1_20260809,kanto,h6000_q+002137_r+000862,19.699836,0.792747,15.616994,15.652918,1.0023,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000858,19.776973,1.0,19.776973,19.776973,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000859,19.757686,1.0,19.757686,19.757686,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000860,19.7384,1.0,19.7384,19.7384,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000861,19.719117,1.0,19.719117,19.719117,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000862,19.699836,1.0,19.699836,19.699836,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000863,19.680558,1.0,19.680558,19.680558,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002138_r+000864,19.661281,0.506298,9.954468,11.045637,1.109616,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000856,19.815555,1.0,19.815555,19.815555,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000857,19.796263,1.0,19.796263,19.796263,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000858,19.776973,1.0,19.776973,19.776973,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000859,19.757686,1.0,19.757686,19.757686,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000860,19.7384,1.0,19.7384,19.7384,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000861,19.719117,1.0,19.719117,19.719117,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000862,19.699836,1.0,19.699836,19.699836,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000863,19.680558,1.0,19.680558,19.680558,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000864,19.661281,1.0,19.661281,19.661281,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000865,19.642007,0.984047,19.328653,18.97077,0.981484,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000866,19.622736,0.996738,19.558732,19.528619,0.99846,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000867,19.603467,1.0,19.603467,19.603467,1.0,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000868,19.5842,0.99919,19.568344,19.54027,0.998565,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000869,19.564936,0.741614,14.509621,14.91773,1.028127,FULL
human_geography_v1_20260809,kanto,h6000_q+002139_r+000870,19.545675,0.616548,12.05084,10.388669,0.86207,PARTIAL
