run_id,region,hex_id,hex_ground_km2,land_fraction,land_ground_km2_est,admin0_coverage_ground_km2,admin0_coverage_ratio_of_land,coverage_quality,coast_land_ground_km2,admin0_union_ground_km2,matched_ground_km2,undercovered_ground_km2,overcovered_ground_km2,symmetric_difference_ground_km2,land_coverage_fraction,admin0_to_coast_land_area_ratio,undercoverage_fraction,overcoverage_fraction,symmetric_difference_fraction,coverage_class
human_geography_v1_1_20260811,kanto,h6000_q+002137_r+000860,19.7384,1.0,19.7384,19.7384,1.0,FULL,19.7384,19.7384,19.7384,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002137_r+000861,19.719117,0.988526,19.492855,19.557059,1.003294,FULL,19.492784,19.557059,19.492784,0.0,0.064275,0.064275,1.0,1.003297,0.0,0.003297,0.003297,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002137_r+000862,19.699836,0.792747,15.616994,15.652918,1.0023,FULL,15.617922,15.652918,15.60359,0.01433,0.048846,0.063176,0.999082,1.002241,0.000918,0.003128,0.004045,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000858,19.776973,1.0,19.776973,19.776973,1.0,FULL,19.776973,19.776973,19.776973,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000859,19.757686,1.0,19.757686,19.757686,1.0,FULL,19.757686,19.757686,19.757686,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000860,19.7384,1.0,19.7384,19.7384,1.0,FULL,19.7384,19.7384,19.7384,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000861,19.719117,1.0,19.719117,19.719117,1.0,FULL,19.719117,19.719117,19.719117,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000862,19.699836,1.0,19.699836,19.699836,1.0,FULL,19.699836,19.699836,19.699836,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000863,19.680558,1.0,19.680558,19.680558,1.0,FULL,19.680558,19.680558,19.680558,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002138_r+000864,19.661281,0.506298,9.954468,11.045637,1.109616,FULL,9.956302,11.045637,9.878806,0.077496,1.165799,1.243295,0.992216,1.109412,0.007784,0.117092,0.124875,BIDIRECTIONAL_MISMATCH
human_geography_v1_1_20260811,kanto,h6000_q+002139_r+000856,19.815555,1.0,19.815555,19.815555,1.0,FULL,19.815555,19.815555,19.815555,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002139_r+000857,19.796263,1.0,19.796263,19.796263,1.0,FULL,19.796263,19.796263,19.796263,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002139_r+000858,19.776973,1.0,19.776973,19.776973,1.0,FULL,19.776973,19.776973,19.776973,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002139_r+000859,19.757686,1.0,19.757686,19.757686,1.0,FULL,19.757686,19.757686,19.757686,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
human_geography_v1_1_20260811,kanto,h6000_q+002139_r+000860,19.7384,1.0,19.7384,19.7384,1.0,FULL,19.7384,19.7384,19.7384,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,MATCHED
