metric,value,run_id
human_geography_schema_version,1.1.0,human_geography_v1_1_20260811
human_geography_algorithm_version,1.0.1,human_geography_v1_1_20260811
reference_semantics,CONTEMPORARY_DE_FACTO_REFERENCE,human_geography_v1_1_20260811
upstream_run,geography_v1_3_islands_006r_20260809,human_geography_v1_1_20260811
admin0_features,258,human_geography_v1_1_20260811
admin0_map_units,298,human_geography_v1_1_20260811
admin1_features,4596,human_geography_v1_1_20260811
disputed_features,99,human_geography_v1_1_20260811
geometry_repairs_audited,3,human_geography_v1_1_20260811
regions,"kanto,border_benelux,malta,fiji_dateline",human_geography_v1_1_20260811
membership_rows_total,7863,human_geography_v1_1_20260811
membership_rows_admin0,3656,human_geography_v1_1_20260811
membership_rows_admin1,4207,human_geography_v1_1_20260811
border_multi_admin0_hexes,37,human_geography_v1_1_20260811
terrestrial_hexes_coverage_audited,3377,human_geography_v1_1_20260811
coverage_quality_counts_deprecated,"{""FULL"": 3337, ""PARTIAL"": 40}",human_geography_v1_1_20260811
coverage_class_counts,"{""MATCHED"": 3190, ""OVERCOVERED"": 90, ""BIDIRECTIONAL_MISMATCH"": 77, ""UNDERCOVERED"": 20}",human_geography_v1_1_20260811
undercovered_ground_km2_total,116.0651,human_geography_v1_1_20260811
overcovered_ground_km2_total,225.6785,human_geography_v1_1_20260811
symmetric_difference_ground_km2_total,341.7436,human_geography_v1_1_20260811
land_coverage_fraction_min_p50_p95_max,"[0.435211, 1.0, 1.0, 1.0]",human_geography_v1_1_20260811
admin0_to_coast_land_area_ratio_min_p50_p95_max,"[0.531654, 1.0, 1.0, 1.523719]",human_geography_v1_1_20260811
area_ratio_above_1_hexes,160,human_geography_v1_1_20260811
island_components_bound,8912,human_geography_v1_1_20260811
component_binding_methods,"{""NEAREST_REFERENCE_POLYGON"": 6002, ""GROUND_INTERSECTION"": 2485, ""UNRESOLVED"": 425}",human_geography_v1_1_20260811
settlements_canonical,7342,human_geography_v1_1_20260811
settlements_admin0_pip,7324,human_geography_v1_1_20260811
settlements_in_covered_regions,15,human_geography_v1_1_20260811
kanto_settlement_candidates_present,3,human_geography_v1_1_20260811
ports_canonical,1081,human_geography_v1_1_20260811
kanto_ports_dual_access,5,human_geography_v1_1_20260811
validation_pass,43/43,human_geography_v1_1_20260811
