chunk_id,min_lon,min_lat,max_lon,max_lat,generation_status,hex_count,terrestrial_count,ocean_count,source_snapshot_sha256,canonical_hash,runtime_s,run_id
euc_00_00,-25.0,34.0,-18.0,41.5,GENERATED,26390,0,26390,31136cca40958608,dfc4a74dbbd37655,0.9,europe_foundation_20260811
euc_01_00,-18.0,34.0,-11.0,41.5,GENERATED,26288,0,26288,31136cca40958608,04180db36ca487bb,0.7,europe_foundation_20260811
euc_02_00,-11.0,34.0,-4.0,41.5,GENERATED,26390,13660,12730,31136cca40958608,9c57bdb3f168f977,7.2,europe_foundation_20260811
euc_03_00,-4.0,34.0,3.0,41.5,GENERATED,26390,15685,10705,31136cca40958608,3bb92a41552a6431,13.6,europe_foundation_20260811
euc_04_00,3.0,34.0,10.0,41.5,GENERATED,26390,11491,14899,31136cca40958608,2a07cbdb49380525,10.8,europe_foundation_20260811
euc_05_00,10.0,34.0,17.0,41.5,GENERATED,26289,5034,21255,31136cca40958608,26a3db79f15443ba,11.9,europe_foundation_20260811
euc_06_00,17.0,34.0,24.0,41.5,GENERATED,26390,7489,18901,31136cca40958608,e5b22ec4af421fb9,18.7,europe_foundation_20260811
euc_07_00,24.0,34.0,31.0,41.5,GENERATED,26390,11389,15001,31136cca40958608,0c026ae4f85a759f,23.2,europe_foundation_20260811
euc_08_00,31.0,34.0,38.0,41.5,GENERATED,26390,20568,5822,31136cca40958608,1a5da4d10102aa25,5.8,europe_foundation_20260811
euc_09_00,38.0,34.0,45.0,41.5,GENERATED,26288,25492,796,31136cca40958608,57e170160f18a12b,2.0,europe_foundation_20260811
euc_00_01,-25.0,41.5,-18.0,49.0,GENERATED,29770,0,29770,31136cca40958608,7bc80b29a0201aa2,0.6,europe_foundation_20260811
euc_01_01,-18.0,41.5,-11.0,49.0,GENERATED,29656,0,29656,31136cca40958608,b01730faeb7140d0,0.6,europe_foundation_20260811
euc_02_01,-11.0,41.5,-4.0,49.0,GENERATED,29770,5697,24073,31136cca40958608,ccae45d9584a0e9d,15.3,europe_foundation_20260811
euc_03_01,-4.0,41.5,3.0,49.0,GENERATED,29770,23254,6516,31136cca40958608,b40f5c832f10e740,41.2,europe_foundation_20260811
