metric,value,run_id
stage,MAPGEN-011R2,historical_pilot_r2_20260812
outcome,evidence semantics finalisation — MAPGEN-011 SOURCE_GAP frozen,historical_pilot_r2_20260812
hpg_schema_version,1.3.0,historical_pilot_r2_20260812
hpg_algorithm_version,1.2.0,historical_pilot_r2_20260812
evidence_assertions_registered,3,historical_pilot_r2_20260812
feature_evidence_links,0,historical_pilot_r2_20260812
convertible_feature_roles,5,historical_pilot_r2_20260812
evidence_roles,7,historical_pilot_r2_20260812
confidence_order,UNKNOWN|LOW|MEDIUM|HIGH,historical_pilot_r2_20260812
production_boundary_features,0,historical_pilot_r2_20260812
snapshot_features_1756_08_01,0,historical_pilot_r2_20260812
hex_membership_rows,0,historical_pilot_r2_20260812
new_control_rows,0,historical_pilot_r2_20260812
existence_authorises_boundary,REJECTED,historical_pilot_r2_20260812
continuity_bridge_required,YES (gaps rejected),historical_pilot_r2_20260812
control_provenance,compiled provenance record + additive id sets,historical_pilot_r2_20260812
validation_pass,30/30,historical_pilot_r2_20260812
