metric,value,run_id
stage,MAPGEN-012,central_europe_1756_pilot_20260812
hpg_schema_version,1.4.0,central_europe_1756_pilot_20260812
hpg_algorithm_version,1.3.0,central_europe_1756_pilot_20260812
georeference_schema_version,1.0.0,central_europe_1756_pilot_20260812
map_source,"Vaugondy/Robert 1756, BnF ark btv1b530412497",central_europe_1756_pilot_20260812
map_licence,public domain (PD-France / PD-US-expired),central_europe_1756_pilot_20260812
prime_meridian,FERRO_20W_OF_PARIS,central_europe_1756_pilot_20260812
gcp_total,11,central_europe_1756_pilot_20260812
gcp_fit,7,central_europe_1756_pilot_20260812
gcp_holdout,4,central_europe_1756_pilot_20260812
transform_selected,PROJECTIVE,central_europe_1756_pilot_20260812
fit_rms_m,50.2,central_europe_1756_pilot_20260812
fit_p95_m,72.6,central_europe_1756_pilot_20260812
holdout_rms_m,1453.2,central_europe_1756_pilot_20260812
holdout_graticule_rms_m,87.9,central_europe_1756_pilot_20260812
settlement_check_residual_m,2902.5,central_europe_1756_pilot_20260812
holdout_max_m,2902.5,central_europe_1756_pilot_20260812
positional_uncertainty_km,2.975,central_europe_1756_pilot_20260812
production_boundary_features,1,central_europe_1756_pilot_20260812
authorised_snapshot_features,1,central_europe_1756_pilot_20260812
rejected_features,0,central_europe_1756_pilot_20260812
scenario_polities_represented,1,central_europe_1756_pilot_20260812
source_land_km2,16035.1,central_europe_1756_pilot_20260812
hex_membership_rows,1426,central_europe_1756_pilot_20260812
feature_membership_rows,1426,central_europe_1756_pilot_20260812
border_hexes,0,central_europe_1756_pilot_20260812
controlled_hexes,1096,central_europe_1756_pilot_20260812
unresolved_border_hexes,330,central_europe_1756_pilot_20260812
zero_hex_loss,0,central_europe_1756_pilot_20260812
overlay_candidates,0,central_europe_1756_pilot_20260812
conservation_error_km2,-0.003,central_europe_1756_pilot_20260812
winner_omission_km2,0.0,central_europe_1756_pilot_20260812
winner_commission_km2,1667.5,central_europe_1756_pilot_20260812
winner_symmetric_difference_km2,1667.5,central_europe_1756_pilot_20260812
polity_model_gaps,3,central_europe_1756_pilot_20260812
validation_pass,32/32,central_europe_1756_pilot_20260812
