evidence_id,scenario_id,source_id,evidence_type,target_type,target_id,confidence,interpretation_notes,source_locator,fact_summary,interpretation_level,notes
ev_38c8fa28a727,seven_years_war_1756_08_01,src_69e8dfc1b435,SEAT_OF_GOVERNMENT,TERRESTRIAL_HEX,h6000_q+002183_r+000819,HIGH,Edo castle honmaru (139.7528E 35.6877N) geocoded onto the MAPGEN-001 grid; hex containment computed deterministically from the world-fixed grid.,UNKNOWN,Edo was the seat of the Tokugawa shogunate at the snapshot date.,DIRECT,Locator UNKNOWN: work-level attribution captured at MAPGEN-008; page-level locator to be added when territory data is built.
ev_5f72fd892aa9,seven_years_war_1756_08_01,src_60da4f268df7,TERRITORIAL_ADMINISTRATION,ISLAND_COMPONENT,isl_c_1859af1e4767,MEDIUM,Island-level source statement (Izu Islands = shogunal territory) mapped to the MAPGEN-006R component representing Toshima. Interpretation: island identity <-> component geometry.,"entry ""伊豆諸島""",The Izu Islands were shogunal direct territory administered via the Nirayama intendancy.,DERIVED,Encyclopedia entry name is the locator.
ev_78266da88724,seven_years_war_1756_08_01,src_69e8dfc1b435,POLITY_EXISTENCE,POLITY,pol_tokugawa_shogunate,HIGH,Existence and government form of the Tokugawa shogunate at 1756-08-01.,UNKNOWN,The Tokugawa shogunate existed as the de-facto government of Japan in 1756.,DIRECT,Locator UNKNOWN: work-level attribution captured at MAPGEN-008.
ev_1165f1073d3d,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_great_britain,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Great Britain existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_4e612f628778,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_kingdom_of_ireland,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Ireland existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_acd843360b03,seven_years_war_1756_08_01,src_cf694f0b686f,POLITY_EXISTENCE,POLITY,pol_hanover,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Electorate of Brunswick-Lüneburg (Hanover) existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_a5c9a45edacc,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_france,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of France existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_787f0d62ad29,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_spain,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Spain existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_cd1367001d16,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_portugal,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Portugal existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_de19a5ed9ec6,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_dutch_republic,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Republic of the Seven United Netherlands existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_f59690356b75,seven_years_war_1756_08_01,src_0478d4eda69b,POLITY_EXISTENCE,POLITY,pol_austrian_netherlands,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Austrian Netherlands existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_c105f24d478b,seven_years_war_1756_08_01,src_2a22eae2a6c2,POLITY_EXISTENCE,POLITY,pol_liege,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Prince-Bishopric of Liège existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_cb1050dec419,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_sardinia,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Kingdom of Sardinia (Savoy-Piedmont) existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_5fc652c201f4,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_venice,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Republic of Venice existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_5257b3399c6d,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_genoa,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Republic of Genoa existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
ev_5af1b422c820,seven_years_war_1756_08_01,src_497229e79aa1,POLITY_EXISTENCE,POLITY,pol_tuscany,HIGH,Existence of this 1756 polity as described in the cited work.,UNKNOWN,Grand Duchy of Tuscany existed as a political entity on 1756-08-01.,DIRECT,Locator UNKNOWN: work-level attribution at catalogue stage; pinpoint locators are added together with boundary evidence in the next stage.
