source_id,scenario_id,citation_key,title,author_or_institution,source_type,publication_year,source_date_range,url,local_file,licence_or_usage_note,retrieved_date,geographic_scope,authority_scope,notes,global_source_id
src_69e8dfc1b435,seven_years_war_1756_08_01,hall_cambridge_history_of_japan_vol4_1991,"The Cambridge History of Japan, Volume 4: Early Modern Japan","John Whitney Hall (ed.), Cambridge University Press",ACADEMIC_REFERENCE,1991,1550-1800,,,Published academic reference used for fact verification only; no content redistributed.,,Japan,Edo-period polity structure; bakufu seat of government and direct domains (tenryo),,hsrc_e356c9a9231f
src_60da4f268df7,seven_years_war_1756_08_01,kokushi_daijiten_izu_shoto,"国史大辞典 (Kokushi Daijiten), entry: 伊豆諸島 (Izu Islands)",吉川弘文館 (Yoshikawa Kobunkan),SECONDARY_REFERENCE,1979,Edo period coverage (1603-1868),,,Published encyclopedia of Japanese history used for fact verification only.,,"Izu Islands, Japan",Edo-period administration of the Izu Islands (shogunal direct territory administered via the Nirayama intendancy),,hsrc_a655571dc162
src_497229e79aa1,seven_years_war_1756_08_01,ncmh_vol7_old_regime_1957,"The New Cambridge Modern History, Volume VII: The Old Regime 1713-63","J. O. Lindsay (ed.), Cambridge University Press",ACADEMIC_REFERENCE,1957,1713-1763,,,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,Europe,"European states system of the mid-18th century: sovereign polities, dynastic unions, Italian and northern states",,hsrc_61f13c030eca
src_7a1c441d3e91,seven_years_war_1756_08_01,ncmh_vol14_atlas_1970,"The New Cambridge Modern History, Volume XIV: Atlas","H. C. Darby & H. Fullard (eds.), Cambridge University Press",HISTORICAL_ATLAS,1970,1500-1900,,,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,Europe/world,Historical-atlas depiction of 18th-century European political territories (used for representability risk assessment),,hsrc_0f6079f5595f
src_2a22eae2a6c2,seven_years_war_1756_08_01,wilson_holy_roman_empire_2016,The Holy Roman Empire: A Thousand Years of Europe's History,"Peter H. Wilson, Allen Lane / Penguin",ACADEMIC_REFERENCE,2016,800-1806,,,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,Holy Roman Empire,"Imperial constitutional structure, membership (electorates, ecclesiastical states, free cities, imperial knights), non-ownership of member territory by the Empire",,hsrc_44870d6324f1
src_d756921e5f15,seven_years_war_1756_08_01,clark_iron_kingdom_2006,Iron Kingdom: The Rise and Downfall of Prussia 1600-1947,"Christopher Clark, Allen Lane",ACADEMIC_REFERENCE,2006,1600-1947,,,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,Brandenburg-Prussia,"Composite structure of the Hohenzollern monarchy: Brandenburg electorate inside the Empire, royal Prussia outside it, scattered western territories",,hsrc_9edbd1f1cda2
src_0478d4eda69b,seven_years_war_1756_08_01,ingrao_habsburg_monarchy_2000,The Habsburg Monarchy 1618-1815 (2nd ed.),"Charles W. Ingrao, Cambridge University Press",ACADEMIC_REFERENCE,2000,1618-1815,,,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,Habsburg lands,"Composite-monarchy structure of the Habsburg lands: Bohemian and Hungarian crowns, Austrian hereditary lands, Italian and Netherlands possessions",,hsrc_3ec4af7d2beb
src_cf694f0b686f,seven_years_war_1756_08_01,szabo_seven_years_war_2008,The Seven Years War in Europe 1756-1763,"Franz A. J. Szabo, Pearson Longman",ACADEMIC_REFERENCE,2008,1756-1763,,,Published scholarly work used for fact verification only; no content reproduced. ISBN not recorded to avoid transcription error — title/author/publisher/year given.,,Europe,"Belligerents and affected polities at the outbreak of the Seven Years War: Hanover, Saxony, Hesse-Kassel, Brunswick, Swedish Pomerania and the great powers",,hsrc_b00eeeb2241f
src_a6ba3ebaf1a7,seven_years_war_1756_08_01,duursma_microstates_1996,Fragmentation and the International Relations of Micro-States: Self-determination and Statehood,"Jorri Duursma, Cambridge University Press",ACADEMIC_REFERENCE,1996,medieval-20th century (per-state case studies),,,Published scholarly work used for fact verification only; ISBN not recorded to avoid transcription error.,,"European microstates (Liechtenstein, San Marino, Monaco, Andorra, Vatican)",Historical continuity and extent of the European microstates (used for the representability re-audit; modern figures used as sanity checks only),,hsrc_51d14db90c7a
src_555d04093a36,seven_years_war_1756_08_01,thrasher_paoli_1970,Pasquale Paoli: An Enlightened Hero 1725-1807,"Peter Adam Thrasher, Constable",ACADEMIC_REFERENCE,1970,1725-1807,,,Published scholarly work used for fact verification only; ISBN not recorded to avoid transcription error.,,Corsica,The Paoli government from 1755: de-facto Corsican polity in the interior vs Genoese control of coastal citadels,,hsrc_bc79a3f9c7ae
