map_source_id,candidate_id,view_id,pixel_bbox,anchor_type,raw_reading,reading_status,confidence,accepted,notes
hsrc_79b470dbf941,anch_001,f2,"2050,430,2600,520",GRATICULE_LONGITUDE_NUMERAL,2|9°,CLEAR,HIGH,YES,"Degree tick with the numeral split across it: '2' left of the tick, '9' with a degree sign right of it, i.e. the 29 degree meridian counted from the sheet's own prime meridian (Ferro). This is the first numeral on either sheet read unambiguously."
hsrc_79b470dbf941,anch_002,f2,"4750,430,5300,520",GRATICULE_LONGITUDE_NUMERAL,4|5',AMBIGUOUS,MEDIUM,NO,"Tick with '4' left and '5' plus a prime right. Reads as 45 minutes, but which degree it belongs to could not be established from this crop alone, so it is not accepted as a control value."
hsrc_79b470dbf941,anch_003,f2,"700,430,1250,520",GRATICULE_LONGITUDE_NUMERAL,4,AMBIGUOUS,LOW,NO,Only a single digit at the crop edge; the rest of the numeral and its tick fall outside the window.
hsrc_79b470dbf941,anch_004,f2,"3400,430,3950,520",GRATICULE_TICK_UNLABELLED,,UNREADABLE,UNKNOWN,NO,No numeral present in this stretch of the band. An unlabelled tick is never given a degree value by interpolation.
hsrc_79b470dbf941,anch_005,f1,"400,400,1000,500",GRATICULE_LONGITUDE_NUMERAL,,UNREADABLE,UNKNOWN,NO,"The neat line slopes across the sheet, so this fixed window catches the band but clips the numeral. Not read."
hsrc_79b470dbf941,anch_006,f1,"1600,400,2200,500",GRATICULE_LONGITUDE_NUMERAL,,UNREADABLE,UNKNOWN,NO,"A tick and what may be a degree sign are visible, but no digit is legible inside the window."
hsrc_79b470dbf941,anch_007,f1,"2900,400,3500,500",GRATICULE_TICK_UNLABELLED,,UNREADABLE,UNKNOWN,NO,Title lettering overlaps the band here.
hsrc_79b470dbf941,anch_008,f1,"4200,400,4800,500",GRATICULE_LONGITUDE_NUMERAL,,UNREADABLE,UNKNOWN,NO,Numeral clipped by the window.
hsrc_79b470dbf941,anch_009,f1,"5100,400,5700,495",PLATE_CORNER,,UNREADABLE,UNKNOWN,NO,Corner of the neat line; no numeral.
hsrc_79b470dbf941,anch_010,f1,"0,4011,620,4431",GRATICULE_LATITUDE_NUMERAL,51°,CLEAR,HIGH,NO,"Latitude numeral 51 with a degree sign at the left edge. Read clearly, but a single latitude value cannot by itself place the sheet, and the matching graticule LINE was not traced, so it is recorded and not used as a control point."
hsrc_79b470dbf941,anch_011,f1,"5131,4011,5751,4431",GRATICULE_LONGITUDE_NUMERAL,4|5,AMBIGUOUS,MEDIUM,NO,"Bottom-right band shows '4' and '5' astride a tick, same form as the f2 reading, degree unknown."
hsrc_79b470dbf941,anch_012,f2,"0,0,5721,300",PRIME_MERIDIAN_NOTE,Longitudines numeratae a Meridiano primo ... qui a Parisiensi removetur 20 ... versus Occidentem,CLEAR,HIGH,YES,"The sheet states its own prime meridian: 20 degrees west of Paris, i.e. the Ferro meridian. Transcribed from the raster, not assumed."
hsrc_79b470dbf941,anch_013,f2,"4900,80,5721,140",SCALE_BAR,"Milliaria Communia, quorum 15. in uno Gradu",CLEAR,HIGH,YES,Scale statement: 15 common miles to one degree.
hsrc_79b470dbf941,anch_014,f1,"60,140,900,1500",LEGEND,Erklaerung der Zeichen / Erklaerung der Weimar. Buchstaben,CLEAR,HIGH,YES,"Symbol legend plus the lettered list of Weimar Aemter (a.W., a.O.W., a.Cr., a.Br.u.H., S.G., a.C., a.D., a.R., a.O., a.G., A.G., A.Pf.D., A.Pf.S., A.Pf.B.)."
