rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,anchors_contained_gb,anchors_contained_ie,named_identification,is_single_connected_component,stage_role,anchor_role,ownership_source,physical_source
0,12128,218685.0,632920.5,-2.57267,54.13554,"[-693285, 6439126, 196281, 8109845]",Cardiff;Edinburgh;London,,,True,MAIN_LANDMASS_GREAT_BRITAIN,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
1,457,83552.5,235069.4,-7.87773,53.45969,"[-1166616, 6700842, -604748, 7436543]",,Belfast;Cork;Dublin,,True,MAIN_LANDMASS_IRELAND,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
2,20056,39753.5,95033.5,1.24865,49.68432,"[-216936, 6261671, 313136, 6654664]",,,Continental Europe,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
3,9281,2149.2,7688.4,-6.65772,58.13449,"[-794314, 7910329, -683019, 8076493]",,,Lewis and Harris,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
4,9664,1636.1,5609.3,-6.24779,57.36299,"[-755839, 7763761, -628686, 7906276]",,,Skye,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
5,19522,953.3,3869.4,-1.34658,60.29662,"[-189704, 8366920, -116774, 8543103]",,,Shetland Mainland,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
6,12117,884.7,2888.5,-6.0193,56.44765,"[-709885, 7610919, -628473, 7690201]",,,Mull,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
7,18645,580.6,2180.8,-3.09769,58.99227,"[-374926, 8122167, -300938, 8213954]",,,Orkney Mainland,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
8,9848,617.6,1946.0,-6.24538,55.7607,"[-726443, 7475073, -670122, 7546101]",,,Islay,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
9,17524,679.8,1898.6,-4.3611,53.28741,"[-510794, 7006406, -449748, 7062949]",,,Anglesey,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
