rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,anchors_contained_sicily,anchors_contained_sardinia,named_identification,is_single_connected_component,stage_role,anchor_role,ownership_source,physical_source
0,0,139625.5,212332.0,8.24943,35.67748,"[626122, 4070069, 1243041, 4487633]",,,North Africa (Tunisia/Algeria),True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
1,1905,101261.5,179018.9,14.75455,41.2135,"[1252294, 4567537, 2061694, 5322513]",,,Italian mainland,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
2,189,23833.1,40775.0,9.03602,40.09713,"[905121, 4702211, 1094143, 5050631]",,Cagliari;Oristano;Sassari,,True,MAIN_LANDMASS_SARDINIA,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
3,1910,25437.0,40582.0,14.15413,37.59036,"[1383061, 4389987, 1742493, 4622104]",Catania;Messina;Palermo,,,True,MAIN_LANDMASS_SICILY,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
4,2711,15925.7,29234.4,18.93639,42.52212,"[1892511, 5009327, 2191652, 5322513]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
5,526,8719.8,15876.7,9.10632,42.15463,"[950656, 5066263, 1064216, 5313754]",,,Corsica,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
6,2070,246.6,376.5,14.44019,35.88814,"[1593974, 4273979, 1622648, 4300387]",,,Malta,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
7,174,110.8,183.9,8.41034,39.04199,"[929431, 4715267, 943396, 4738216]",,,Sant'Antioco,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
8,1602,83.7,130.8,11.99418,36.78753,"[1327580, 4402147, 1342121, 4416744]",,,Pantelleria,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
9,2091,66.0,101.2,14.25251,36.04711,"[1578896, 4302194, 1595924, 4311931]",,,Gozo,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
