region,rank_by_area,part_index,ground_area_km2,centroid_lon,centroid_lat,named_identification,exclusion_reason,note
iceland,1,3772,375.38,-7.01474,62.1352,Faroe Islands;Faroe Islands (Streymoy),SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,2,3792,286.69,-6.8639,62.21241,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,3,3747,176.73,-7.25858,62.08896,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,4,3818,171.35,-6.55448,62.28034,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,5,3686,111.21,-6.78141,61.84275,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,6,3823,30.46,-6.73829,62.29392,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,7,3811,27.26,-6.35202,62.26962,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,8,3167,13.15,-20.27226,63.4312,Vestmannaeyjar (Heimaey);Vestmannaeyjar archipelago,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,Heimaey is a separate component and its authority was not researched for this stage. It is also physically altered: the 1973 Eldfell eruption extended the island's east side.
iceland,9,3841,10.99,-6.30108,62.33463,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
iceland,10,3698,10.27,-6.64892,61.9807,Faroe Islands,SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,"The Faroes swore their own hereditary homage at Thorshavn on 14 August 1662, seventeen days after Iceland swore at Kopavogur. Same crown, separate act, separate territory: they are NOT inherited from the Iceland bundle and are not produced by this stage."
