region,rank_by_area,part_index,ground_area_km2,centroid_lon,centroid_lat,named_identification,exclusion_reason,note
malta,2,8,2.78,14.33628,36.01159,Comino,NOT_NAMED_IN_THE_1530_PRIVILEGE,"The Charles V privilege of 1530 enumerates Malta and Gozo and the fortress of Tripoli. Comino is not in the enumeration, so it is not authorised here. Withheld on the wording of the instrument, not on distance from Gozo."
malta,3,23,0.31,14.50251,35.90363,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,4,29,0.1,14.40269,35.96578,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,5,10,0.1,14.31993,36.01353,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,6,19,0.04,14.40986,35.78739,Filfla,NOT_NAMED_IN_THE_1530_PRIVILEGE,"Uninhabited islet, not enumerated in the 1530 privilege."
malta,7,4,0.01,14.32507,36.01082,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,8,15,0.01,14.18874,36.04691,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,9,13,0.0,14.33116,36.02926,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,10,28,0.0,14.44639,35.95336,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,11,18,0.0,14.40689,35.78648,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,12,27,0.0,14.4456,35.95276,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,13,5,0.0,14.32347,36.01139,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,14,21,0.0,14.56755,35.84019,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,15,20,0.0,14.56074,35.81874,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,16,11,0.0,14.27613,36.01516,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,17,3,0.0,14.32911,36.00868,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,18,16,0.0,14.18817,36.05152,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
malta,19,12,0.0,14.32695,36.02754,,OFFSHORE_COMPONENT_NOT_AUDITED_THIS_STAGE,
