landmass,land_subject_or_component_id,parent_hex_id,land_fragment_id,canonical_water_type,is_terrestrial_hex,land_area_km2,hex_total_land_km2,land_fraction_of_hex,other_land_in_hex_km2,geometry_sha256,contained_in_parent_hex,mixed_unaudited,geometry_source,identity_algorithm_version,in_mapgen024_gap_pool,production_decision
Great Britain,hsub_great_britain_main_island,h6000_q-000716_r+001239,lfr_aea58c7d412191,OCEAN,False,2.102842758,2.113022905,0.163605,0.010180147,7f2906526b6668b00f72ee4460c9537141a48b034683909168ebce19037fcd4d,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000718_r+001240,lfr_6d1279f7956528,OCEAN,False,8.6074e-05,0.000970396,7.5e-05,0.000884322,064c02f70a7881b4b7482968721116d0f153a89de45ba9d13faf2a7d5f4e8841,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000716_r+001240,lfr_2ec4bda62d2f64,OCEAN,False,4.928353059,4.930158354,0.382062,0.001805295,d6b1ae696ea071b139349fec27a4ffd4d4b3c49bdbca6eb9538edc338dcca7e9,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000715_r+001241,lfr_d60f9cb5a635d1,OCEAN,False,4.329073616,4.33118749,0.336065,0.002113874,a6c5eb6a11286114f256e7220f3e8368a259a22560ecd983977c63515a706ccc,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000727_r+001242,lfr_582523c54ed5d9,OCEAN,False,0.746505464,0.750172021,0.058286,0.003666557,0be3a49e66cf50fa8b6f65dfa44dde5a7b5f605923449929fba5fc8637e9efc2,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000725_r+001242,lfr_06e3e894be6710,OCEAN,False,3.121407468,3.121407468,0.245772,0.0,6db415309c3b3c7a771411275ae0cfb45ae448aa4d4e9665f4e442cc09f2d2fe,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000724_r+001242,lfr_3423355cb7f415,OCEAN,False,0.071283258,0.071283258,0.00554,0.0,13aa66f03091fb1e836feba07504bbca272118f1c1333cd3fc109fb1f40d6766,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000719_r+001242,lfr_bacff213aa7a15,OCEAN,False,4.060918794,4.061488812,0.315528,0.000570018,7d02a4b13a5f8151b4393d2d3507b761f8d84c4a20ad2041386958fc1e7f7812,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000715_r+001242,lfr_ccf26b25d63a2d,OCEAN,False,5.576108839,5.580626086,0.433547,0.004517247,02883467b638b831e7bde1b77804a9aef171d26ed3da7d109801abd7009c0c70,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Great Britain,hsub_great_britain_main_island,h6000_q-000728_r+001243,lfr_e3f7ccf6e4358c,OCEAN,False,0.111454544,0.11890152,0.009245,0.007446976,8d1d1ef01d7603124ec5ee46111ba60a4d7673542d43c47ceddbd212c4409163,True,True,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
