land_fragment_id,parent_hex_id,land_subject_or_component_id,canonical_water_type,is_terrestrial_hex,land_area_km2,land_fraction_of_hex,geometry_sha256,geometry_source,identity_algorithm_version
lfr_aea58c7d412191,h6000_q-000716_r+001239,hsub_great_britain_main_island,OCEAN,False,2.102842758,0.163605,7f2906526b6668b00f72ee4460c9537141a48b034683909168ebce19037fcd4d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_6d1279f7956528,h6000_q-000718_r+001240,hsub_great_britain_main_island,OCEAN,False,8.6074e-05,7.5e-05,064c02f70a7881b4b7482968721116d0f153a89de45ba9d13faf2a7d5f4e8841,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_2ec4bda62d2f64,h6000_q-000716_r+001240,hsub_great_britain_main_island,OCEAN,False,4.928353059,0.382062,d6b1ae696ea071b139349fec27a4ffd4d4b3c49bdbca6eb9538edc338dcca7e9,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_d60f9cb5a635d1,h6000_q-000715_r+001241,hsub_great_britain_main_island,OCEAN,False,4.329073616,0.336065,a6c5eb6a11286114f256e7220f3e8368a259a22560ecd983977c63515a706ccc,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_582523c54ed5d9,h6000_q-000727_r+001242,hsub_great_britain_main_island,OCEAN,False,0.746505464,0.058286,0be3a49e66cf50fa8b6f65dfa44dde5a7b5f605923449929fba5fc8637e9efc2,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_06e3e894be6710,h6000_q-000725_r+001242,hsub_great_britain_main_island,OCEAN,False,3.121407468,0.245772,6db415309c3b3c7a771411275ae0cfb45ae448aa4d4e9665f4e442cc09f2d2fe,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_3423355cb7f415,h6000_q-000724_r+001242,hsub_great_britain_main_island,OCEAN,False,0.071283258,0.00554,13aa66f03091fb1e836feba07504bbca272118f1c1333cd3fc109fb1f40d6766,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_bacff213aa7a15,h6000_q-000719_r+001242,hsub_great_britain_main_island,OCEAN,False,4.060918794,0.315528,7d02a4b13a5f8151b4393d2d3507b761f8d84c4a20ad2041386958fc1e7f7812,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_ccf26b25d63a2d,h6000_q-000715_r+001242,hsub_great_britain_main_island,OCEAN,False,5.576108839,0.433547,02883467b638b831e7bde1b77804a9aef171d26ed3da7d109801abd7009c0c70,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_e3f7ccf6e4358c,h6000_q-000728_r+001243,hsub_great_britain_main_island,OCEAN,False,0.111454544,0.009245,8d1d1ef01d7603124ec5ee46111ba60a4d7673542d43c47ceddbd212c4409163,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
lfr_2c7887a83ff4f4,h6000_q-000724_r+001243,hsub_great_britain_main_island,OCEAN,False,1.708153176,0.13353,7eb5c393fba257cda1fef72d73c7652a966e63471334a1a4c09aa84f867fbbf7,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
