boundary_feature_id,historical_subject_id,scenario_polity_id,feature_role,snapshot_date,bundle_confidence,bundle_evidence_ids,bundle_source_ids,bundle_evidence_roles,valid_from,valid_to,positional_uncertainty_km,geometry_status,production_authorised
hbf_9982d6cab487,hsub_meissen_electoral_saxony_core,sp_992101257e91,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_63418cd6ce49|hev_886d8a602567,hsrc_34735c52ef0d,GEOMETRY_SHAPE|POLITICAL_STATUS,1756-01-01,1756-12-31,9.168,GEOMETRY_PRESENT,True
hbf_e04d229dab78,hsub_duchy_of_saxe_weimar,sp_539bf465a695,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_090b079c8ce6|hev_a58ba7e6f5cd,hsrc_34735c52ef0d,GEOMETRY_SHAPE|POLITICAL_STATUS,1756-01-01,1756-12-31,9.168,GEOMETRY_PRESENT,True
hbf_c455f25d6f49,hsub_great_britain_main_island,sp_6b03622fc98a,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_528f625f3ed5|hev_c34b6560f482|hev_f53c6f33a49f,hsrc_7c6f3e8a56e3|hsrc_a01a2b3eef3d,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_47682dfac78d,hsub_ireland_main_island,sp_c8f0dcb42a96,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_007d6bad0acf|hev_13364aa51fe0|hev_3b103df245e9,hsrc_a01a2b3eef3d|hsrc_a844d4767e20,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_f2169d1d26f9,hsub_sicily_main_island,sp_14ee92dede27,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_2714e09703ae|hev_55f1634d1083|hev_6df0d3e8b767|hev_7695c809052d|hev_955d8d15d43d,hsrc_1405c6fc82b4|hsrc_3a87623ff865|hsrc_585c749941c5|hsrc_a01a2b3eef3d,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_ebfa1ff1171e,hsub_sardinia_main_island,sp_5f0f4d8d4788,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_2e2dedf17bab|hev_614c3c7f6a31|hev_a0ddf76441c8|hev_c0a65bb47b7b|hev_f020c02e4625,hsrc_1405c6fc82b4|hsrc_4ffa40da6904|hsrc_a01a2b3eef3d|hsrc_a7c2cd195764,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_bfe66730723e,hsub_iceland_main_island,sp_44c79eb0f89c,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_2085f8093e4d|hev_72ed3d75f1e2|hev_80a687b7f01f|hev_fb366d0999ce,hsrc_a01a2b3eef3d|hsrc_c8be7c4cd248|hsrc_d29599d7a12a,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_7b632778e5dd,hsub_malta_main_island,sp_20bf1d9af6ea,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_75e0a6586a0e|hev_7e89fae3f2b2|hev_c4813bd05f8c|hev_ec7512e0c7a4,hsrc_1934f8f4d778|hsrc_455c4d5a91ef|hsrc_a01a2b3eef3d,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_9f2803a50b1c,hsub_gozo_island,sp_20bf1d9af6ea,POLITY_EXTERNAL_BOUNDARY,1756-08-01,MEDIUM,hev_2c0ed95e3727|hev_426a1d670e05|hev_592eeb2d946d|hev_7fa3f46995eb,hsrc_1934f8f4d778|hsrc_455c4d5a91ef|hsrc_a01a2b3eef3d,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,0.5,HISTORICALLY_AUTHORISED_LANDMASS_SCOPE,True
hbf_4da53367f9a0,hsub_spain_crown_iberian_mainland,sp_b622a2799f94,DE_FACTO_CONTROL_BOUNDARY,1756-08-01,MEDIUM,hev_01c12212351f|hev_0af093378ef8|hev_8538f8cbccb2|hev_abb876de2058|hev_c4c807454a57|hev_de06d6f7238a,hsrc_4c13f0498990|hsrc_6d03c3d9c9f5|hsrc_a01a2b3eef3d|hsrc_ea6236627f6a|hsrc_eba277c453c5,GEOMETRY_SHAPE|POLITICAL_STATUS|TEMPORAL_CONTINUITY,1756-01-01,1756-12-31,34.61,SAFE_INTERIOR_SUBSET_OF_AUTHORISED_EXTENT,True
