hex_id,canonical_water_type,is_terrestrial_hex,land_fraction,hex_land_km2,mainland_fragment_km2,other_component_km2,land_subject_or_component_id,candidate_land_fragment_id,spain_safe_km2,portugal_safe_km2,spain_region_km2,portugal_region_km2,safe_interior_status,frontier_band_status,special_case_status,mixed_land_status,proposed_control_status,proposed_controller,basis,land_fragment_id,parent_hex_id,land_area_km2,land_fraction_of_hex,geometry_sha256,geometry_source,identity_algorithm_version
h6000_q-000440_r+000997,OCEAN,False,0.157552,2.700691,2.696738,0.003953,hsub_european_mainland,lfr_d900f86af58c32,0.0,0.0,2.639165,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_d900f86af58c32,h6000_q-000440_r+000997,2.696738,0.9985363005245694,d0165db54b348b468eaeb1c02d4d77878796406f56c54295d0484cb9b85d3e47,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000440_r+001000,OCEAN,False,0.269747,4.605867,4.603636,0.002231,hsub_european_mainland,lfr_efca987a933a05,0.0,0.0,0.014115,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_efca987a933a05,h6000_q-000440_r+001000,4.603636,0.9995156177979087,e758b6aa97a7863003352e853aa852e1fa4f1b3d8c74028d7262416beff5839a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000441_r+000982,OCEAN,False,0.165396,2.879331,2.879331,0.0,hsub_european_mainland,lfr_cbd3ca406bd303,0.0,0.0,2.346284,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_cbd3ca406bd303,h6000_q-000441_r+000982,2.879331,1.0,a7856811de6329789ed4d51dafb22cf8aaa6b3d62f9ad6a303ca5148b32cb146,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000441_r+000998,OCEAN,False,0.220466,3.773803,3.773803,0.0,hsub_european_mainland,lfr_d1707197ebbbd2,0.0,0.0,3.773803,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_d1707197ebbbd2,h6000_q-000441_r+000998,3.773803,1.0,7359408eb026e4c56f57425c78dc054d86f83109c9f5edbb30ae1bc9848a7740,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000441_r+001000,OCEAN,False,0.098259,1.677652,1.670299,0.007353,hsub_european_mainland,lfr_d59e1cd8ce8374,0.0,0.0,1.670299,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_d59e1cd8ce8374,h6000_q-000441_r+001000,1.670299,0.995617088645321,fb7a734737cb209b5fe021d5b2101eb18a18a2e3c40f294e134021cf25accea1,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000442_r+000981,OCEAN,False,0.000981,0.017098,0.017098,0.0,hsub_european_mainland,lfr_ebf2123336aee3,0.0,0.0,0.017098,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_ebf2123336aee3,h6000_q-000442_r+000981,0.017098,1.0,15c6e5e419f0842578cfb1f82264f0f17b53827049dc688b6ee9b2f6f9bdbbb2,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000442_r+001000,OCEAN,False,0.487479,8.325038,8.325038,0.0,hsub_european_mainland,lfr_6bebe68f152b02,0.0,0.0,8.325038,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_6bebe68f152b02,h6000_q-000442_r+001000,8.325038,1.0,a6a65a6d6c2b6d95d485035d17ac7fe3c036d3bb640c4a06a84bd6d76a8e4441,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000443_r+000981,OCEAN,False,0.363412,6.333907,6.333907,0.0,hsub_european_mainland,lfr_f1c72b9899a29e,0.0,0.0,6.333907,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_f1c72b9899a29e,h6000_q-000443_r+000981,6.333907,1.0,68685070a3592207fddfdf9c688a84baec784b7175dde0fa734736eb98a62629,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000443_r+001004,OCEAN,False,0.160034,2.721817,2.700375,0.021442,hsub_european_mainland,lfr_a2ee588abf3fab,0.0,0.0,2.700375,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_a2ee588abf3fab,h6000_q-000443_r+001004,2.700375,0.9921221742681452,8b74b466383a6d75c805fb4843fa1d727afb1a972110f9bcfefa574d0d6d1b92,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000444_r+000980,OCEAN,False,0.256516,4.475424,4.475424,0.0,hsub_european_mainland,lfr_deac0f707c62d4,0.0,0.0,4.475424,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_deac0f707c62d4,h6000_q-000444_r+000980,4.475424,1.0,b8b44fe4d73ad53584685e70de41094b58f2c30d58ea7b92903aef0d22b34298,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
