stage,sheet,model,status,form,uses_graticule,n_fit,fit_rms_m,fit_p95_m,fit_max_m,n_holdout,holdout_rms_m,holdout_p95_m,holdout_max_m,n_blind,blind_rms_m,blind_p95_m,blind_max_m,folding,scale_ratio,mean_pixel_scale_m,design_condition,plate_meridian_offset_deg,selected
MAPGEN-028,N,AFFINE,FITTED,AFFINE,NO,13,10269.339885508556,17611.572477329875,20367.143249679502,4,6065.592954721418,7566.508515376904,7616.0223994832895,5,7385.252870904383,9679.079622792378,9766.43101022342,False,1.0443,111.57,18266.60219561694,,True
MAPGEN-028,N,AFFINE_GRATICULE,FITTED,AFFINE,YES,13,11532.901352386643,17240.451157220163,18078.846534587865,4,9966.898847650851,13954.206049563809,14193.44999323865,5,10097.416312284868,13373.466007651128,13809.41358245836,False,1.044,115.22,18266.60219561694,17.659310805691497,False
MAPGEN-028,N,PROJECTIVE,FITTED,PROJECTIVE,NO,13,12840.7772237727,20290.91585479801,23860.211644348798,4,10515.502914483744,15996.953442622384,16831.58687158736,5,16280.539718180458,27838.31451226849,30555.120888292822,False,3.2787,109.11,2258695.7792962897,,False
MAPGEN-028,N,POLYNOMIAL_2,FITTED,POLYNOMIAL_2,NO,13,7803.487532681417,13289.736808967276,16716.764553889432,4,9493.407990298994,13290.669316706972,13712.816101407256,5,12786.361706582824,18095.339888171315,19010.79832301888,True,3.1335,117.17,408278224.1122308,,False
MAPGEN-028,N,POLYNOMIAL_2_GRATICULE,FITTED,POLYNOMIAL_2,YES,13,10341.249036214856,17117.286411454417,19893.944866536207,4,7473.975123322008,10294.018292248404,10959.276470481587,5,9248.670556440517,10788.118729241269,10961.549350617544,False,1.0789,116.15,408278224.1122308,17.80576914777807,False
MAPGEN-028,S,AFFINE,FITTED,AFFINE,NO,12,7399.949720609102,12759.584152781228,17226.74077169547,4,10638.20951393096,13402.33894668725,13461.207633098757,4,5082.031407618849,6977.809405859565,7261.415000285975,False,1.0453,116.96,14253.834115391068,,False
MAPGEN-028,S,AFFINE_GRATICULE,FITTED,AFFINE,YES,12,11595.55534791538,20860.157030523413,22832.955530529565,4,10662.19275034104,15177.560100427729,16170.191531396746,4,8411.57227688736,11148.309597397229,11470.93320542059,False,1.0409,115.81,14253.834115391068,17.60498808738176,False
MAPGEN-028,S,PROJECTIVE,FITTED,PROJECTIVE,NO,12,6610.694095015211,11014.387066744936,14733.161771872414,4,9597.812958682243,11658.62704054344,11806.195581418136,4,7958.872210904902,13133.240387055112,14428.497968042298,False,1.4863,114.02,2101541.2348095514,,True
MAPGEN-028,S,POLYNOMIAL_2,FITTED,POLYNOMIAL_2,NO,12,3352.710213469617,5427.722796107015,6593.888804983875,4,10417.723470296052,11016.125909157368,11023.779309271073,4,13283.303525337533,21815.359906676047,24016.64592896193,False,2.8065,113.32,176133817.63712287,,False
MAPGEN-028,S,POLYNOMIAL_2_GRATICULE,FITTED,POLYNOMIAL_2,YES,12,9931.034164337314,15850.030625800977,16920.674044583473,4,12709.531084965003,17801.390963996124,18934.25625645048,4,10730.83743727589,12556.224211494977,12612.739416993914,False,1.0928,115.8,176133817.63712287,17.65777683268475,False
