territorial_target_type,territorial_target_id,controller_scenario_polity_id,control_status,notes,old_status,old_controller,old_promotion_id,old_uncertainty_km,revision_id,reason,change,new_promotion_id,new_uncertainty_km
TERRESTRIAL_HEX,h6000_q-000573_r+000863,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 4.11 of 19.68 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000574_r+000862,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.70 of 19.70 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000574_r+000863,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.68 of 19.68 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000574_r+000864,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 13.67 of 19.66 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000574_r+000865,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 1.63 of 19.64 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000575_r+000862,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.70 of 19.70 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000575_r+000863,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.68 of 19.68 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000575_r+000864,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.66 of 19.66 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000575_r+000865,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.64 of 19.64 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000575_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 7.98 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000576_r+000862,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.70 of 19.70 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000576_r+000863,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.68 of 19.68 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000576_r+000864,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.66 of 19.66 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000576_r+000865,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.64 of 19.64 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000576_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.62 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000576_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 1.77 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000863,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.68 of 19.68 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000864,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.66 of 19.66 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000865,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.64 of 19.64 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.62 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 17.99 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000868,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 0.16 of 19.58 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000577_r+000885,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 6.14 of 19.26 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000863,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.68 of 19.68 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000864,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.66 of 19.66 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000865,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.64 of 19.64 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000866,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.62 of 19.62 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000867,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.60 of 19.60 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000868,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 18.42 of 19.58 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000869,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 3.26 of 19.56 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000873,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 0.63 of 19.49 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000874,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 5.25 of 19.47 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000875,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 1.04 of 19.45 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000578_r+000877,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 0.11 of 19.41 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
